Passo,ValorCentral,Tempo_false_32,Tempo_false_64,Tempo_false_128,Tempo_true_32,Tempo_true_64,Tempo_true_128,Tempo_close_32,Tempo_close_64,Tempo_close_128,Tempo_spread_32,Tempo_spread_64,Tempo_spread_128,Tempo_master_32,Tempo_master_64,Tempo_master_128
0,1.00000,0.001491,0.007721,0.002230,0.000267,0.000406,0.000563,0.000281,0.000325,0.000621,0.000392,0.000437,0.000656,0.000412,0.000373,0.001014
1,0.99999,0.000282,0.001066,0.000640,0.000162,0.000275,0.000804,0.000130,0.000268,0.000565,0.000276,0.000328,0.000571,0.000264,0.000297,0.000993
2,0.99998,0.000307,0.001219,0.000625,0.000132,0.000250,0.000699,0.000111,0.000354,0.000626,0.000236,0.000278,0.000561,0.000247,0.000243,0.000957
3,0.99996,0.000315,0.000691,0.000760,0.000129,0.000274,0.000737,0.000170,0.000248,0.000439,0.000162,0.000216,0.000589,0.000416,0.000290,0.000918
4,0.99994,0.000269,0.000625,0.000503,0.000129,0.000336,0.001274,0.000507,0.000222,0.000471,0.000230,0.000362,0.000855,0.000491,0.000339,0.000916
5,0.99991,0.000236,0.000542,0.000987,0.000120,0.000264,0.004787,0.000135,0.000263,0.000573,0.000128,0.000330,0.000561,0.000197,0.000369,0.000981
6,0.99988,0.000243,0.000525,0.002960,0.000132,0.000281,0.001578,0.000118,0.000472,0.000461,0.000127,0.000217,0.000643,0.000185,0.000277,0.001280
7,0.99983,0.000216,0.000497,0.001627,0.000114,0.000372,0.000609,0.000112,0.000374,0.000483,0.000127,0.000305,0.000666,0.000189,0.000290,0.000999
8,0.99979,0.000228,0.000521,0.000715,0.000124,0.000250,0.000652,0.000669,0.000549,0.000607,0.000127,0.000376,0.000950,0.000199,0.000240,0.000863
9,0.99973,0.000183,0.000537,0.000858,0.000132,0.000386,0.000727,0.000670,0.000449,0.000491,0.000126,0.000288,0.000952,0.000196,0.000326,0.000867
10,0.99967,0.000213,0.000685,0.000716,0.000128,0.000307,0.000852,0.000600,0.000312,0.000545,0.000125,0.000335,0.000644,0.000191,0.000296,0.000855
11,0.99961,0.000202,0.000625,0.000474,0.000121,0.000222,0.001373,0.000189,0.000332,0.000883,0.000172,0.000763,0.000982,0.000217,0.000218,0.000881
12,0.99954,0.000169,0.000533,0.000498,0.000128,0.000274,0.000755,0.000167,0.000472,0.000978,0.000171,0.000324,0.000767,0.000184,0.000287,0.000833
13,0.99946,0.000183,0.000523,0.000566,0.000135,0.000334,0.000620,0.000178,0.000370,0.000672,0.000170,0.000354,0.000729,0.000198,0.000303,0.001012
14,0.99938,0.000159,0.000536,0.002664,0.000126,0.000364,0.000611,0.000174,0.000488,0.001217,0.000173,0.000341,0.000869,0.000199,0.000311,0.000924
15,0.99930,0.000167,0.000619,0.001968,0.000117,0.000554,0.000645,0.000192,0.000882,0.001811,0.000178,0.000436,0.001102,0.000210,0.000302,0.000919
16,0.99920,0.000148,0.000737,0.000902,0.000153,0.000859,0.000578,0.000191,0.000516,0.000639,0.001139,0.000663,0.001814,0.000206,0.000461,0.000926
