Passo,ValorCentral,Tempo_false_32,Tempo_false_64,Tempo_false_128,Tempo_true_32,Tempo_true_64,Tempo_true_128,Tempo_close_32,Tempo_close_64,Tempo_close_128,Tempo_spread_32,Tempo_spread_64,Tempo_spread_128,Tempo_master_32,Tempo_master_64,Tempo_master_128
0,1.00000,0.004884,0.003648,0.004283,0.002642,0.002475,0.002954,0.003321,0.003024,0.002747,0.002783,0.002331,0.002708,0.002449,0.002615,0.004434
1,0.99999,0.003307,0.003608,0.007079,0.002714,0.002591,0.003086,0.003418,0.003674,0.003200,0.006352,0.002467,0.002707,0.002411,0.002558,0.003955
2,0.99998,0.003027,0.003504,0.003141,0.009832,0.005908,0.007923,0.003835,0.004907,0.003923,0.004806,0.007013,0.004532,0.003666,0.006657,0.004322
3,0.99996,0.002795,0.003172,0.003393,0.004448,0.003481,0.003600,0.003372,0.003555,0.003615,0.003154,0.004035,0.002786,0.003426,0.003117,0.004081
4,0.99994,0.003967,0.003176,0.004211,0.003533,0.003957,0.003723,0.003140,0.005105,0.003234,0.004228,0.003043,0.003179,0.003309,0.003776,0.003870
5,0.99991,0.003862,0.003778,0.003811,0.002324,0.003291,0.002936,0.003930,0.003108,0.003273,0.003757,0.002949,0.003315,0.003308,0.002707,0.003704
6,0.99988,0.003418,0.003822,0.002516,0.002067,0.002967,0.005188,0.004248,0.003132,0.003192,0.002629,0.003937,0.002933,0.003162,0.002358,0.003872
7,0.99983,0.006988,0.002558,0.003043,0.002109,0.004331,0.003982,0.003302,0.002984,0.005625,0.002843,0.002759,0.002908,0.003178,0.003644,0.004146
8,0.99979,0.008931,0.002428,0.003514,0.004801,0.002567,0.003455,0.002160,0.003338,0.004236,0.005331,0.002274,0.003235,0.002529,0.003986,0.003982
9,0.99973,0.004373,0.002428,0.004426,0.002535,0.002441,0.002982,0.003136,0.004260,0.002862,0.002680,0.002402,0.003639,0.002186,0.002716,0.003797
10,0.99967,0.005309,0.002419,0.002962,0.002711,0.002327,0.004496,0.003351,0.002524,0.002632,0.002732,0.002284,0.002674,0.002448,0.002851,0.003669
11,0.99961,0.005393,0.003448,0.006488,0.002272,0.002615,0.003313,0.002989,0.002381,0.003402,0.004117,0.002856,0.002656,0.004109,0.002535,0.003789
12,0.99954,0.003501,0.003701,0.003920,0.002250,0.002844,0.003776,0.002502,0.002394,0.004963,0.003266,0.003296,0.002661,0.003613,0.003113,0.003607
13,0.99946,0.003309,0.002490,0.003714,0.002569,0.002959,0.003930,0.002617,0.003020,0.003231,0.002629,0.002567,0.003469,0.002840,0.003289,0.005326
14,0.99938,0.003118,0.002470,0.003654,0.003700,0.003751,0.003676,0.002199,0.002891,0.002856,0.002653,0.002546,0.004859,0.002393,0.002758,0.003476
15,0.99930,0.003653,0.002455,0.003928,0.002467,0.002597,0.004570,0.002954,0.003438,0.002829,0.002599,0.002337,0.004019,0.002373,0.002902,0.003768
16,0.99920,0.003476,0.002417,0.003798,0.002355,0.002583,0.003493,0.003658,0.002578,0.002858,0.002842,0.002370,0.003174,0.002983,0.002704,0.003464
17,0.99911,0.003987,0.003378,0.003565,0.002273,0.002557,0.003667,0.002309,0.002348,0.002555,0.002694,0.002660,0.003412,0.003143,0.002686,0.003410
18,0.99900,0.003537,0.003247,0.003421,0.002432,0.002681,0.002762,0.002176,0.003144,0.002503,0.002655,0.002476,0.002994,0.002644,0.002547,0.004039
19,0.99889,0.004492,0.002603,0.003168,0.002537,0.002630,0.005494,0.002715,0.002836,0.002507,0.002332,0.002592,0.003648,0.002635,0.002709,0.003356
20,0.99878,0.002894,0.002531,0.003282,0.003028,0.004330,0.003493,0.002831,0.002938,0.002475,0.002593,0.002680,0.003086,0.002596,0.002311,0.002668
21,0.99866,0.003636,0.002526,0.003106,0.002678,0.002359,0.003552,0.002931,0.003120,0.002507,0.002606,0.002644,0.003496,0.002739,0.002740,0.003957
22,0.99853,0.003563,0.002740,0.003064,0.002618,0.002475,0.003183,0.002408,0.002783,0.002525,0.002609,0.002649,0.003958,0.002609,0.002230,0.004031
23,0.99840,0.002322,0.002646,0.002861,0.002584,0.002414,0.003115,0.002268,0.002583,0.002904,0.002595,0.002606,0.002995,0.002503,0.003165,0.003889
