Passo,ValorCentral,Tempo
0,1.00000,0.050631536
1,0.99999,0.046095157
2,0.99998,0.039574727
3,0.99996,0.034503215
4,0.99994,0.035025977
5,0.99991,0.038001011
6,0.99988,0.034289373
7,0.99983,0.035174357
8,0.99979,0.034150465
9,0.99973,0.033911074
10,0.99967,0.033498547
11,0.99961,0.033489087
12,0.99954,0.033820756
13,0.99946,0.034157573
14,0.99938,0.039636603
15,0.99930,0.044855680
16,0.99920,0.037989882
17,0.99911,0.035570541
18,0.99900,0.043360217
19,0.99889,0.075606424
20,0.99878,0.040127381
21,0.99866,0.037182794
22,0.99853,0.036047182
23,0.99840,0.039545586
24,0.99827,0.036762705
25,0.99813,0.035092460
26,0.99798,0.036182967
27,0.99783,0.036188831
28,0.99767,0.040830994
29,0.99751,0.036269655
30,0.99734,0.036046408
31,0.99717,0.036050591
32,0.99699,0.039702032
33,0.99681,0.038562801
34,0.99662,0.037758078
35,0.99643,0.039877775
36,0.99623,0.033076987
37,0.99603,0.032957791
38,0.99582,0.033733759
39,0.99561,0.032821469
40,0.99539,0.033763440
41,0.99517,0.034081863
42,0.99494,0.032864571
43,0.99471,0.032776136
44,0.99448,0.033463405
45,0.99424,0.078562733
46,0.99399,0.068092278
47,0.99374,0.057851301
48,0.99348,0.052674285
49,0.99322,0.056420344
50,0.99296,0.048391106
51,0.99269,0.042280638
52,0.99242,0.040395629
53,0.99214,0.040390313
54,0.99186,0.047084589
55,0.99157,0.036223611
56,0.99128,0.044800254
57,0.99098,0.048334620
58,0.99068,0.044477286
59,0.99038,0.051688002
60,0.99007,0.045294497
61,0.98975,0.046187684
62,0.98944,0.033013441
63,0.98912,0.033220310
64,0.98879,0.033902601
65,0.98846,0.034130442
66,0.98812,0.036696916
67,0.98779,0.038957516
68,0.98744,0.033556293
69,0.98710,0.038938028
70,0.98674,0.035957383
71,0.98639,0.035600671
72,0.98603,0.037838183
73,0.98567,0.033022274
74,0.98530,0.032402869
75,0.98493,0.032783822
76,0.98455,0.032601866
77,0.98418,0.032230910
78,0.98379,0.032991165
79,0.98341,0.032274649
80,0.98302,0.032223775
81,0.98262,0.032567680
82,0.98222,0.032258698
83,0.98182,0.032635076
84,0.98142,0.032290665
85,0.98101,0.032821203
86,0.98059,0.032856376
87,0.98018,0.033838884
88,0.97976,0.032903599
89,0.97933,0.035547483
90,0.97890,0.033176384
91,0.97847,0.033991233
92,0.97804,0.033978272
93,0.97760,0.036544055
94,0.97716,0.036712169
95,0.97671,0.039918100
96,0.97626,0.034951426
97,0.97581,0.034242054
98,0.97536,0.032037628
99,0.97490,0.032094190
100,0.97444,0.032777988
101,0.97397,0.033819269
102,0.97350,0.032959432
103,0.97303,0.032965232
104,0.97255,0.033521807
105,0.97208,0.041534929
106,0.97159,0.032834520
107,0.97111,0.031994910
108,0.97062,0.032374192
109,0.97013,0.033240152
110,0.96963,0.032375452
111,0.96914,0.032162633
112,0.96863,0.031956647
113,0.96813,0.031949980
114,0.96762,0.032575635
115,0.96711,0.032848753
116,0.96660,0.033567043
117,0.96608,0.033209688
118,0.96557,0.033523351
119,0.96504,0.033620405
120,0.96452,0.032870423
121,0.96399,0.033135127
122,0.96346,0.033325575
123,0.96293,0.033102636
124,0.96239,0.034023187
125,0.96185,0.034254938
126,0.96131,0.033289776
127,0.96076,0.033630023
128,0.96022,0.033655101
129,0.95967,0.033638120
130,0.95911,0.034590552
131,0.95856,0.036684622
132,0.95800,0.045061690
133,0.95744,0.035514686
134,0.95687,0.032606757
135,0.95631,0.032051517
136,0.95574,0.032138634
137,0.95517,0.036873227
138,0.95459,0.037631808
139,0.95402,0.032255654
140,0.95344,0.033985707
141,0.95285,0.031914673
142,0.95227,0.031944975
143,0.95168,0.031993131
144,0.95109,0.032382747
145,0.95050,0.032070847
146,0.94991,0.031975049
147,0.94931,0.032009458
148,0.94871,0.033134759
149,0.94811,0.032773513
150,0.94751,0.033841747
151,0.94690,0.032896405
152,0.94630,0.033873625
153,0.94569,0.034449061
154,0.94507,0.032026530
155,0.94446,0.037055392
156,0.94384,0.038989809
157,0.94322,0.033495396
158,0.94260,0.033050956
159,0.94198,0.032441165
160,0.94135,0.032138074
161,0.94072,0.032275792
162,0.94009,0.033447760
163,0.93946,0.032323826
164,0.93883,0.032148380
165,0.93819,0.031926264
166,0.93755,0.031913779
167,0.93691,0.031893830
168,0.93627,0.032275357
169,0.93562,0.033293499
170,0.93498,0.033478664
171,0.93433,0.032842318
172,0.93368,0.033800802
173,0.93303,0.032912930
174,0.93237,0.033425927
175,0.93172,0.033339421
176,0.93106,0.033101028
177,0.93040,0.033645162
178,0.92974,0.032928724
179,0.92907,0.033813020
180,0.92841,0.033106120
181,0.92774,0.032764249
182,0.92707,0.033467562
183,0.92640,0.033255133
184,0.92573,0.033801658
185,0.92506,0.032976306
186,0.92438,0.033123969
187,0.92370,0.033653238
188,0.92302,0.033598469
189,0.92234,0.033103185
190,0.92166,0.032917275
191,0.92098,0.032909583
192,0.92029,0.033802803
193,0.91960,0.038322252
194,0.91892,0.035358431
195,0.91822,0.043225654
196,0.91753,0.038115274
197,0.91684,0.037106382
198,0.91614,0.036518433
199,0.91545,0.038051409
200,0.91475,0.037729135
201,0.91405,0.047856288
202,0.91335,0.040029645
203,0.91265,0.040020913
204,0.91194,0.035701865
205,0.91124,0.040954455
206,0.91053,0.034829916
207,0.90982,0.032385915
208,0.90911,0.033093313
209,0.90840,0.032538222
210,0.90769,0.032141402
211,0.90697,0.041935826
212,0.90626,0.038612851
213,0.90554,0.032350555
214,0.90482,0.040703665
215,0.90411,0.037496130
216,0.90339,0.033274082
217,0.90266,0.032962116
218,0.90194,0.032922269
219,0.90122,0.033624279
220,0.90049,0.033192466
221,0.89976,0.032999825
222,0.89904,0.033529677
223,0.89831,0.033326524
224,0.89758,0.032976371
225,0.89685,0.033853350
226,0.89611,0.033076595
227,0.89538,0.033127282
228,0.89465,0.033542755
229,0.89391,0.033242524
230,0.89317,0.032940165
231,0.89244,0.033617253
232,0.89170,0.037066678
233,0.89096,0.031925675
234,0.89022,0.034241308
235,0.88947,0.040883083
236,0.88873,0.041491625
237,0.88799,0.042427519
238,0.88724,0.038422666
239,0.88650,0.043729023
240,0.88575,0.048353326
241,0.88500,0.041158451
242,0.88425,0.035961970
243,0.88350,0.033933049
244,0.88275,0.031964469
245,0.88200,0.032409619
246,0.88125,0.032546586
247,0.88049,0.033387113
248,0.87974,0.033396817
249,0.87899,0.032784638
250,0.87823,0.033516899
251,0.87747,0.033038040
252,0.87671,0.036023899
253,0.87596,0.038343181
254,0.87520,0.036408991
255,0.87444,0.032617580
256,0.87368,0.032101697
257,0.87291,0.032551543
258,0.87215,0.032395797
259,0.87139,0.032531778
260,0.87062,0.032547798
261,0.86986,0.032107480
262,0.86909,0.032096805
263,0.86833,0.032642436
264,0.86756,0.036860230
265,0.86679,0.036533188
266,0.86603,0.036337967
267,0.86526,0.037233059
268,0.86449,0.033788982
269,0.86372,0.032404497
270,0.86295,0.033706425
271,0.86218,0.033705086
272,0.86140,0.032855966
273,0.86063,0.033136614
274,0.85986,0.032877138
275,0.85908,0.032946248
276,0.85831,0.033678353
277,0.85754,0.033079848
278,0.85676,0.033583528
279,0.85598,0.033169901
280,0.85521,0.032877002
281,0.85443,0.033608030
282,0.85365,0.033171092
283,0.85288,0.033850729
284,0.85210,0.032890199
285,0.85132,0.032978846
286,0.85054,0.033544025
287,0.84976,0.033477806
288,0.84898,0.033515255
289,0.84820,0.032896756
290,0.84742,0.033888355
291,0.84663,0.035958834
292,0.84585,0.034175888
293,0.84507,0.034592121
294,0.84429,0.033544132
295,0.84350,0.032610080
296,0.84272,0.032274232
297,0.84194,0.032161988
298,0.84115,0.032133580
299,0.84037,0.034921070
300,0.83958,0.033596200
301,0.83880,0.032973127
302,0.83801,0.033022573
303,0.83722,0.032143818
304,0.83644,0.032052795
305,0.83565,0.032774807
306,0.83486,0.032849576
307,0.83408,0.033825395
308,0.83329,0.032904142
309,0.83250,0.033796436
310,0.83171,0.033000185
311,0.83092,0.032871021
312,0.83013,0.033749840
313,0.82935,0.032997702
314,0.82856,0.036907241
315,0.82777,0.037981991
316,0.82698,0.034003357
317,0.82619,0.034271725
318,0.82540,0.032744898
319,0.82461,0.032754929
320,0.82382,0.032326152
321,0.82303,0.032038817
322,0.82223,0.032031567
323,0.82144,0.032806292
324,0.82065,0.032755733
325,0.81986,0.041972534
326,0.81907,0.038329648
327,0.81828,0.033973846
328,0.81749,0.033581359
329,0.81669,0.037923607
330,0.81590,0.036824572
331,0.81511,0.035172869
332,0.81432,0.037120296
333,0.81353,0.034212502
334,0.81273,0.034100970
335,0.81194,0.034096065
336,0.81115,0.035170236
337,0.81036,0.034113268
338,0.80956,0.033894863
339,0.80877,0.033714729
340,0.80798,0.033571163
341,0.80719,0.032837266
342,0.80639,0.033444780
343,0.80560,0.032273928
344,0.80481,0.032542442
345,0.80402,0.032304772
346,0.80322,0.032182943
347,0.80243,0.033529199
348,0.80164,0.036076972
349,0.80084,0.037007757
350,0.80005,0.039882612
351,0.79926,0.039528877
352,0.79847,0.039314435
353,0.79767,0.040627053
354,0.79688,0.038899306
355,0.79609,0.043957791
356,0.79530,0.038815872
357,0.79450,0.036231300
358,0.79371,0.040633965
359,0.79292,0.032855313
360,0.79213,0.033175205
361,0.79133,0.033298533
362,0.79054,0.033323226
363,0.78975,0.033061951
364,0.78896,0.036539556
365,0.78817,0.037563520
366,0.78738,0.035365557
367,0.78658,0.032453223
368,0.78579,0.032263169
369,0.78500,0.032797780
370,0.78421,0.032568451
371,0.78342,0.032397373
372,0.78263,0.032471188
373,0.78184,0.032228413
374,0.78105,0.034300621
375,0.78026,0.040278212
376,0.77947,0.034556189
377,0.77868,0.034136950
378,0.77789,0.035990773
379,0.77710,0.033951969
380,0.77631,0.032848044
381,0.77552,0.032909676
382,0.77473,0.033775221
383,0.77394,0.033435473
384,0.77315,0.032811403
385,0.77237,0.032951163
386,0.77158,0.033825675
387,0.77079,0.032994609
388,0.77000,0.034710600
389,0.76922,0.032362110
390,0.76843,0.033201648
391,0.76764,0.033746431
392,0.76685,0.033023321
393,0.76607,0.032856338
394,0.76528,0.032931085
395,0.76450,0.033795588
396,0.76371,0.032931093
397,0.76293,0.033653339
398,0.76214,0.033078547
399,0.76136,0.032887366
400,0.76057,0.033817689
401,0.75979,0.038369209
402,0.75900,0.036953562
403,0.75822,0.032539736
404,0.75744,0.032161606
405,0.75665,0.033406909
406,0.75587,0.032484230
407,0.75509,0.032245452
408,0.75431,0.034694823
409,0.75353,0.033793606
410,0.75275,0.032799975
411,0.75196,0.033120123
412,0.75118,0.032409869
413,0.75040,0.032260328
414,0.74962,0.032231310
415,0.74884,0.032547318
416,0.74807,0.033062414
417,0.74729,0.032706832
418,0.74651,0.033128575
419,0.74573,0.032326130
420,0.74495,0.032610394
421,0.74418,0.033018601
422,0.74340,0.033481038
423,0.74262,0.032954929
424,0.74185,0.032940865
425,0.74107,0.033755262
