Passo,ValorCentral,Tempo
0,1.00000,0.038832242
1,0.99999,0.025998276
2,0.99998,0.028114881
3,0.99996,0.025862524
4,0.99994,0.018917808
5,0.99991,0.018057227
6,0.99988,0.017128390
7,0.99983,0.019736429
8,0.99979,0.023075261
9,0.99973,0.017232681
10,0.99967,0.018650437
11,0.99961,0.018276736
12,0.99954,0.018025008
13,0.99946,0.018001293
14,0.99938,0.018014092
15,0.99930,0.018006337
16,0.99920,0.018026962
17,0.99911,0.018139063
18,0.99900,0.019465438
19,0.99889,0.018366581
20,0.99878,0.018011963
21,0.99866,0.018002055
22,0.99853,0.018005767
23,0.99840,0.018112532
24,0.99827,0.017996336
25,0.99813,0.018080111
26,0.99798,0.018055414
27,0.99783,0.024755040
28,0.99767,0.019846022
29,0.99751,0.019198968
30,0.99734,0.019334150
31,0.99717,0.019548688
32,0.99699,0.022326426
33,0.99681,0.020569700
34,0.99662,0.021566655
35,0.99643,0.025038623
36,0.99623,0.019380997
37,0.99603,0.019229512
38,0.99582,0.019310104
39,0.99561,0.025593814
40,0.99539,0.021292557
41,0.99517,0.021700855
42,0.99494,0.023290866
43,0.99471,0.021727348
44,0.99448,0.021625565
45,0.99424,0.024501994
46,0.99399,0.021176397
47,0.99374,0.019665256
48,0.99348,0.023681265
49,0.99322,0.021887144
50,0.99296,0.023447984
51,0.99269,0.030791875
52,0.99242,0.032862530
53,0.99214,0.036410569
54,0.99186,0.028220483
55,0.99157,0.034979748
56,0.99128,0.034375296
57,0.99098,0.024006279
58,0.99068,0.018857022
59,0.99038,0.019478908
60,0.99007,0.026241804
61,0.98975,0.030873943
62,0.98944,0.023656787
63,0.98912,0.019939283
64,0.98879,0.017201129
65,0.98846,0.017000064
66,0.98812,0.018967438
67,0.98779,0.020220650
68,0.98744,0.018586437
69,0.98710,0.016954315
70,0.98674,0.017015968
71,0.98639,0.017335188
72,0.98603,0.023736958
73,0.98567,0.025930363
74,0.98530,0.018477313
75,0.98493,0.017058373
76,0.98455,0.017007290
77,0.98418,0.019111364
78,0.98379,0.021224946
79,0.98341,0.020227717
80,0.98302,0.018662027
81,0.98262,0.017018931
82,0.98222,0.016973434
83,0.98182,0.017064157
84,0.98142,0.017063945
85,0.98101,0.017091233
86,0.98059,0.020468164
87,0.98018,0.022809891
88,0.97976,0.021941176
89,0.97933,0.021427157
90,0.97890,0.020773057
91,0.97847,0.018607740
92,0.97804,0.020505460
93,0.97760,0.017226515
94,0.97716,0.020243346
95,0.97671,0.017241858
96,0.97626,0.017300854
97,0.97581,0.017383553
98,0.97536,0.017773565
99,0.97490,0.017852708
100,0.97444,0.017196333
101,0.97397,0.017420115
102,0.97350,0.018530459
103,0.97303,0.017654942
104,0.97255,0.019926428
105,0.97208,0.022514444
106,0.97159,0.020507719
107,0.97111,0.018693522
108,0.97062,0.018221528
109,0.97013,0.019858063
110,0.96963,0.017516995
111,0.96914,0.018211739
112,0.96863,0.018169164
113,0.96813,0.018217849
114,0.96762,0.018198877
115,0.96711,0.018230393
116,0.96660,0.018188819
117,0.96608,0.018202139
118,0.96557,0.018211624
119,0.96504,0.019139513
120,0.96452,0.018897455
121,0.96399,0.018369279
122,0.96346,0.018576612
123,0.96293,0.018525868
124,0.96239,0.018766176
125,0.96185,0.018919114
126,0.96131,0.018669205
127,0.96076,0.020300442
128,0.96022,0.019203474
129,0.95967,0.018660041
130,0.95911,0.018629955
131,0.95856,0.018599701
132,0.95800,0.018585865
133,0.95744,0.018584640
134,0.95687,0.019185865
135,0.95631,0.019384657
136,0.95574,0.018531675
137,0.95517,0.018559745
138,0.95459,0.018528016
139,0.95402,0.020150046
140,0.95344,0.018566901
141,0.95285,0.019411092
142,0.95227,0.019065098
143,0.95168,0.018609560
144,0.95109,0.018658381
145,0.95050,0.018448556
146,0.94991,0.018492036
147,0.94931,0.019192236
148,0.94871,0.018560583
149,0.94811,0.017774372
150,0.94751,0.020325640
151,0.94690,0.018604094
152,0.94630,0.018399683
153,0.94569,0.018446217
154,0.94507,0.018502695
155,0.94446,0.019854541
156,0.94384,0.018516766
157,0.94322,0.019456883
158,0.94260,0.019868197
159,0.94198,0.018424087
160,0.94135,0.018543894
161,0.94072,0.018312136
162,0.94009,0.018329163
163,0.93946,0.018296416
164,0.93883,0.018445469
165,0.93819,0.019548430
166,0.93755,0.019571896
