Passo,ValorCentral,Tempo
0,1.00000,0.062721934
1,0.99999,0.041995091
2,0.99998,0.056617796
3,0.99996,0.053718056
4,0.99994,0.021313837
5,0.99991,0.038874140
6,0.99988,0.029778574
7,0.99983,0.019955879
8,0.99979,0.018028141
9,0.99973,0.018158775
10,0.99967,0.018166951
11,0.99961,0.018032232
12,0.99954,0.020976245
13,0.99946,0.020388533
14,0.99938,0.021809604
15,0.99930,0.019394063
16,0.99920,0.019078956
17,0.99911,0.019228232
18,0.99900,0.019102905
19,0.99889,0.021034572
20,0.99878,0.027811320
21,0.99866,0.040942360
22,0.99853,0.043833768
23,0.99840,0.039740368
24,0.99827,0.042016831
25,0.99813,0.048564682
26,0.99798,0.029534621
27,0.99783,0.035884388
28,0.99767,0.027327610
29,0.99751,0.018881526
30,0.99734,0.018104171
31,0.99717,0.017959685
32,0.99699,0.018746652
33,0.99681,0.030688929
34,0.99662,0.024614551
35,0.99643,0.023173293
36,0.99623,0.018293305
37,0.99603,0.019337430
38,0.99582,0.019088626
39,0.99561,0.020504830
40,0.99539,0.024416568
41,0.99517,0.028280353
42,0.99494,0.022670330
43,0.99471,0.021609532
44,0.99448,0.031681282
45,0.99424,0.025658128
46,0.99399,0.030417200
47,0.99374,0.019731907
48,0.99348,0.018693971
49,0.99322,0.018074388
50,0.99296,0.018249198
51,0.99269,0.018035849
52,0.99242,0.031044580
53,0.99214,0.030111564
54,0.99186,0.020004324
55,0.99157,0.018492769
56,0.99128,0.018519731
57,0.99098,0.019162119
58,0.99068,0.021605290
59,0.99038,0.019228116
60,0.99007,0.019131954
61,0.98975,0.018674008
62,0.98944,0.018191919
63,0.98912,0.023933529
64,0.98879,0.025731006
65,0.98846,0.021101342
66,0.98812,0.019164482
67,0.98779,0.019155524
68,0.98744,0.022769616
69,0.98710,0.022786366
70,0.98674,0.019111715
71,0.98639,0.019103077
72,0.98603,0.019758156
73,0.98567,0.021225983
74,0.98530,0.026516652
75,0.98493,0.020577445
76,0.98455,0.019116092
77,0.98418,0.021560899
78,0.98379,0.021718769
79,0.98341,0.030409340
80,0.98302,0.026678609
81,0.98262,0.022108219
82,0.98222,0.017933107
83,0.98182,0.017874237
84,0.98142,0.018936302
85,0.98101,0.029408477
86,0.98059,0.038303742
87,0.98018,0.050908176
88,0.97976,0.047407396
89,0.97933,0.092014249
90,0.97890,0.072770800
91,0.97847,0.055879561
92,0.97804,0.067238756
93,0.97760,0.047085850
94,0.97716,0.038191306
95,0.97671,0.042003488
96,0.97626,0.040802267
97,0.97581,0.039407699
98,0.97536,0.039850155
99,0.97490,0.035773997
100,0.97444,0.042882487
101,0.97397,0.053905109
102,0.97350,0.082466559
103,0.97303,0.036451690
104,0.97255,0.045157043
105,0.97208,0.056793582
106,0.97159,0.052991097
107,0.97111,0.031023541
108,0.97062,0.035103982
109,0.97013,0.027478644
110,0.96963,0.027454726
111,0.96914,0.027534019
112,0.96863,0.030106642
113,0.96813,0.026576064
114,0.96762,0.028724090
115,0.96711,0.030345680
116,0.96660,0.035776288
117,0.96608,0.034626823
118,0.96557,0.035530364
119,0.96504,0.040528439
120,0.96452,0.034824774
121,0.96399,0.049455354
122,0.96346,0.030982362
123,0.96293,0.047416497
124,0.96239,0.046059065
125,0.96185,0.039577684
126,0.96131,0.032696064
127,0.96076,0.054061709
128,0.96022,0.047805732
129,0.95967,0.048983421
130,0.95911,0.031955319
131,0.95856,0.041072428
132,0.95800,0.050059233
133,0.95744,0.037314249
134,0.95687,0.031012694
135,0.95631,0.028084833
136,0.95574,0.026985219
137,0.95517,0.027294914
138,0.95459,0.027986280
139,0.95402,0.027897446
140,0.95344,0.036195202
141,0.95285,0.041490985
142,0.95227,0.039129414
143,0.95168,0.051696529
144,0.95109,0.039306317
145,0.95050,0.034860286
146,0.94991,0.033047374
147,0.94931,0.035189310
148,0.94871,0.057431296
149,0.94811,0.062096345
150,0.94751,0.067182570
151,0.94690,0.054796897
152,0.94630,0.076275595
153,0.94569,0.044652573
154,0.94507,0.042336999
155,0.94446,0.058009802
156,0.94384,0.048784234
157,0.94322,0.070891427
158,0.94260,0.057872650
159,0.94198,0.045526551
160,0.94135,0.044748201
161,0.94072,0.033347712
162,0.94009,0.062009897
163,0.93946,0.053897807
164,0.93883,0.024370360
165,0.93819,0.043316369
166,0.93755,0.033860384
167,0.93691,0.035134416
168,0.93627,0.035462850
169,0.93562,0.035947678
170,0.93498,0.036133186
171,0.93433,0.040081472
172,0.93368,0.049989154
173,0.93303,0.040908468
174,0.93237,0.050084244
175,0.93172,0.057423342
176,0.93106,0.046589485
177,0.93040,0.037320160
178,0.92974,0.049932063
179,0.92907,0.036617700
180,0.92841,0.033616960
181,0.92774,0.039322705
182,0.92707,0.062364131
183,0.92640,0.049469524
184,0.92573,0.045011833
185,0.92506,0.037998900
186,0.92438,0.037159486
187,0.92370,0.026553551
188,0.92302,0.027497970
189,0.92234,0.024181973
190,0.92166,0.031094790
191,0.92098,0.040038826
192,0.92029,0.050537303
193,0.91960,0.028539260
194,0.91892,0.034200012
195,0.91822,0.027204963
196,0.91753,0.031793762
197,0.91684,0.026063282
198,0.91614,0.028599627
199,0.91545,0.027803241
200,0.91475,0.064720707
201,0.91405,0.073755662
202,0.91335,0.046596302
203,0.91265,0.032281230
204,0.91194,0.034147340
205,0.91124,0.030033322
206,0.91053,0.030240573
207,0.90982,0.027443629
208,0.90911,0.037278051
209,0.90840,0.033873371
210,0.90769,0.031944308
211,0.90697,0.033692833
212,0.90626,0.032348496
213,0.90554,0.029708924
214,0.90482,0.033347487
215,0.90411,0.035966754
216,0.90339,0.036852214
217,0.90266,0.037993196
218,0.90194,0.036541103
219,0.90122,0.035561093
220,0.90049,0.033542969
221,0.89976,0.037135029
222,0.89904,0.025850104
223,0.89831,0.033384314
224,0.89758,0.028862767
225,0.89685,0.029391226
226,0.89611,0.032233479
227,0.89538,0.033300165
228,0.89465,0.035940754
229,0.89391,0.044793701
230,0.89317,0.040792668
231,0.89244,0.043875606
232,0.89170,0.042481695
233,0.89096,0.036022267
234,0.89022,0.037759433
235,0.88947,0.033655079
236,0.88873,0.040407572
237,0.88799,0.027139896
238,0.88724,0.076109644
239,0.88650,0.053666006
240,0.88575,0.060881798
241,0.88500,0.057168112
242,0.88425,0.045325363
243,0.88350,0.038699123
244,0.88275,0.047970822
245,0.88200,0.055233258
246,0.88125,0.055981484
247,0.88049,0.069070723
248,0.87974,0.047069961
249,0.87899,0.042726996
250,0.87823,0.044222954
251,0.87747,0.052990854
252,0.87671,0.054939325
253,0.87596,0.038266949
254,0.87520,0.042539933
255,0.87444,0.046604145
256,0.87368,0.038678609
257,0.87291,0.033777493
258,0.87215,0.033268944
259,0.87139,0.029188624
260,0.87062,0.035186083
261,0.86986,0.055556834
262,0.86909,0.028389452
263,0.86833,0.040600317
264,0.86756,0.052308557
265,0.86679,0.048654032
266,0.86603,0.042805457
267,0.86526,0.056780319
268,0.86449,0.055619386
269,0.86372,0.042139489
270,0.86295,0.040848448
271,0.86218,0.037144799
272,0.86140,0.037288232
273,0.86063,0.032749959
274,0.85986,0.026862666
275,0.85908,0.026624920
276,0.85831,0.029306406
277,0.85754,0.028819570
278,0.85676,0.026469205
279,0.85598,0.028365406
280,0.85521,0.030928593
281,0.85443,0.028892270
282,0.85365,0.034571483
283,0.85288,0.034347454
284,0.85210,0.043708317
285,0.85132,0.051887144
286,0.85054,0.049573703
287,0.84976,0.038733646
288,0.84898,0.045644019
289,0.84820,0.049843059
290,0.84742,0.049364567
291,0.84663,0.045701258
292,0.84585,0.053877014
293,0.84507,0.050314890
294,0.84429,0.037346850
295,0.84350,0.056091323
296,0.84272,0.053133902
297,0.84194,0.038683718
298,0.84115,0.053880721
299,0.84037,0.035604311
300,0.83958,0.031649018
301,0.83880,0.026833239
302,0.83801,0.029906364
303,0.83722,0.032274570
304,0.83644,0.032496716
305,0.83565,0.031009491
306,0.83486,0.038316035
307,0.83408,0.032846083
308,0.83329,0.038567259
309,0.83250,0.045094446
310,0.83171,0.044339737
311,0.83092,0.048773337
312,0.83013,0.051047980
313,0.82935,0.034802915
314,0.82856,0.029332662
315,0.82777,0.029890796
316,0.82698,0.032921334
317,0.82619,0.031126848
318,0.82540,0.037914778
319,0.82461,0.039116524
320,0.82382,0.041137316
321,0.82303,0.044399031
322,0.82223,0.058816495
323,0.82144,0.074855021
324,0.82065,0.056554000
325,0.81986,0.041757048
326,0.81907,0.044846776
327,0.81828,0.048162645
328,0.81749,0.045026161
329,0.81669,0.033033017
330,0.81590,0.025148895
331,0.81511,0.025894928
332,0.81432,0.017972485
333,0.81353,0.018119171
334,0.81273,0.017944390
335,0.81194,0.017882129
336,0.81115,0.031102038
337,0.81036,0.019136250
338,0.80956,0.029497575
339,0.80877,0.029527672
340,0.80798,0.039309148
341,0.80719,0.032662307
342,0.80639,0.027566326
343,0.80560,0.025961535
344,0.80481,0.026206135
345,0.80402,0.025366920
346,0.80322,0.030085288
347,0.80243,0.031303988
348,0.80164,0.030111223
349,0.80084,0.032567115
350,0.80005,0.030531769
351,0.79926,0.024774565
352,0.79847,0.030534833
353,0.79767,0.028874449
354,0.79688,0.022588748
355,0.79609,0.023842762
356,0.79530,0.025620961
357,0.79450,0.030588687
358,0.79371,0.031988244
359,0.79292,0.028270743
360,0.79213,0.034661625
361,0.79133,0.048642845
362,0.79054,0.043271847
363,0.78975,0.028484229
364,0.78896,0.031992091
365,0.78817,0.027861236
366,0.78738,0.029237628
367,0.78658,0.034050040
368,0.78579,0.030603283
