Passo,ValorCentral,Tempo
0,1.00000,0.018589832
1,0.99999,0.003627925
2,0.99998,0.003376411
3,0.99996,0.003445301
4,0.99994,0.003410325
5,0.99991,0.003394785
6,0.99988,0.003408111
7,0.99983,0.003404994
8,0.99979,0.003426826
9,0.99973,0.003424321
10,0.99967,0.003459016
11,0.99961,0.003410796
12,0.99954,0.003430192
13,0.99946,0.003410155
14,0.99938,0.003432266
15,0.99930,0.003427788
16,0.99920,0.003675955
17,0.99911,0.003764873
18,0.99900,0.003433118
19,0.99889,0.003422969
20,0.99878,0.003457333
21,0.99866,0.003456041
22,0.99853,0.003465159
23,0.99840,0.003425754
24,0.99827,0.003465419
25,0.99813,0.003443387
26,0.99798,0.003462543
27,0.99783,0.003438839
28,0.99767,0.003470158
29,0.99751,0.003442806
30,0.99734,0.003439971
31,0.99717,0.003457243
32,0.99699,0.003449328
33,0.99681,0.003451673
34,0.99662,0.003451302
35,0.99643,0.003452143
36,0.99623,0.003471080
37,0.99603,0.003446864
38,0.99582,0.003458385
39,0.99561,0.003471871
40,0.99539,0.003453947
41,0.99517,0.003448166
42,0.99494,0.003479906
43,0.99471,0.003440191
44,0.99448,0.003474055
45,0.99424,0.003456993
46,0.99399,0.004041624
47,0.99374,0.003422779
48,0.99348,0.003461101
49,0.99322,0.003452535
50,0.99296,0.003460780
51,0.99269,0.003441153
52,0.99242,0.003471249
53,0.99214,0.003464157
54,0.99186,0.003487791
55,0.99157,0.003472652
56,0.99128,0.003472813
57,0.99098,0.003440471
58,0.99068,0.003455400
59,0.99038,0.003447636
60,0.99007,0.003469747
61,0.98975,0.003455750
62,0.98944,0.003472833
63,0.98912,0.003452825
64,0.98879,0.003454248
65,0.98846,0.003468184
66,0.98812,0.003460269
67,0.98779,0.003441283
68,0.98744,0.003472322
69,0.98710,0.003457183
70,0.98674,0.003446473
71,0.98639,0.003457193
72,0.98603,0.003468645
73,0.98567,0.003454317
74,0.98530,0.003463836
75,0.98493,0.003980178
76,0.98455,0.003441444
77,0.98418,0.003423369
78,0.98379,0.003472332
79,0.98341,0.003443788
80,0.98302,0.003452154
81,0.98262,0.003451072
82,0.98222,0.003451773
83,0.98182,0.003449198
84,0.98142,0.003448908
85,0.98101,0.003439991
86,0.98059,0.003452044
87,0.98018,0.003442936
88,0.97976,0.003453446
89,0.97933,0.003449459
90,0.97890,0.003465258
91,0.97847,0.003460860
92,0.97804,0.003447766
