Passo,ValorCentral,Tempo
0,1.00000,0.001948326
1,0.99999,0.001688999
2,0.99998,0.001380240
3,0.99996,0.001383657
4,0.99994,0.001384368
5,0.99991,0.001393124
6,0.99988,0.001363549
7,0.99983,0.001374569
8,0.99979,0.001398604
9,0.99973,0.001384969
10,0.99967,0.001367967
11,0.99961,0.001375602
12,0.99954,0.001407251
13,0.99946,0.001403133
14,0.99938,0.001415216
15,0.99930,0.001396862
16,0.99920,0.001396000
17,0.99911,0.001393856
18,0.99900,0.001381533
19,0.99889,0.001420245
20,0.99878,0.001400789
21,0.99866,0.001393104
22,0.99853,0.001378737
23,0.99840,0.001392954
24,0.99827,0.001396992
25,0.99813,0.001405488
26,0.99798,0.001368968
27,0.99783,0.001429493
28,0.99767,0.001403344
29,0.99751,0.001389598
30,0.99734,0.001373828
31,0.99717,0.001390659
32,0.99699,0.001405457
33,0.99681,0.001412150
34,0.99662,0.001382414
35,0.99643,0.001412421
36,0.99623,0.001377946
37,0.99603,0.001426647
38,0.99582,0.001404896
39,0.99561,0.001409535
40,0.99539,0.001417340
41,0.99517,0.001413663
42,0.99494,0.001411940
43,0.99471,0.001410638
44,0.99448,0.001405187
45,0.99424,0.001394677
46,0.99399,0.001375611
47,0.99374,0.001395098
48,0.99348,0.001358970
49,0.99322,0.001462685
50,0.99296,0.001401079
51,0.99269,0.001398013
52,0.99242,0.001422329
53,0.99214,0.001403203
54,0.99186,0.001397332
55,0.99157,0.001412581
56,0.99128,0.001397082
57,0.99098,0.001443369
58,0.99068,0.001361024
59,0.99038,0.001401740
60,0.99007,0.001397783
61,0.98975,0.001400909
62,0.98944,0.001403083
63,0.98912,0.001377906
64,0.98879,0.001411228
65,0.98846,0.001430384
66,0.98812,0.001400498
67,0.98779,0.001455581
68,0.98744,0.001413793
69,0.98710,0.001396019
70,0.98674,0.001381382
71,0.98639,0.001395529
72,0.98603,0.001596897
73,0.98567,0.001683459
74,0.98530,0.001393555
75,0.98493,0.001403995
76,0.98455,0.001379669
77,0.98418,0.001387364
78,0.98379,0.001367146
79,0.98341,0.001407270
80,0.98302,0.001393295
81,0.98262,0.001387123
82,0.98222,0.001401961
83,0.98182,0.001390709
84,0.98142,0.001404816
85,0.98101,0.001402852
86,0.98059,0.001389167
