Passo,ValorCentral,Tempo
0,1.00000,0.011025143
1,0.99999,0.014023225
2,0.99998,0.013979442
3,0.99996,0.013907266
4,0.99994,0.013930851
5,0.99991,0.013948695
6,0.99988,0.014007224
7,0.99983,0.013961859
8,0.99979,0.013862792
9,0.99973,0.014025589
10,0.99967,0.013951470
11,0.99961,0.013976787
12,0.99954,0.013965977
13,0.99946,0.014017424
14,0.99938,0.013946931
15,0.99930,0.013986395
16,0.99920,0.013917736
17,0.99911,0.013965426
18,0.99900,0.013986164
19,0.99889,0.013973942
20,0.99878,0.013969564
21,0.99866,0.013954314
22,0.99853,0.013987337
23,0.99840,0.014031531
24,0.99827,0.013938315
25,0.99813,0.013925080
26,0.99798,0.014044365
27,0.99783,0.013941791
28,0.99767,0.014042230
29,0.99751,0.013994641
30,0.99734,0.014019257
31,0.99717,0.014053332
32,0.99699,0.013908228
33,0.99681,0.013993048
34,0.99662,0.013988118
35,0.99643,0.013747215
36,0.99623,0.014005160
37,0.99603,0.013971877
38,0.99582,0.013963472
39,0.99561,0.013958712
40,0.99539,0.013972419
41,0.99517,0.013955517
42,0.99494,0.014029877
43,0.99471,0.013989722
44,0.99448,0.013917235
45,0.99424,0.013546876
46,0.99399,0.013996404
47,0.99374,0.013982218
48,0.99348,0.014033574
49,0.99322,0.014021812
50,0.99296,0.014008286
51,0.99269,0.013966417
52,0.99242,0.014028925
53,0.99214,0.013971978
54,0.99186,0.013969233
55,0.99157,0.013974563
56,0.99128,0.014041028
57,0.99098,0.013954836
58,0.99068,0.014004499
59,0.99038,0.013940809
60,0.99007,0.013984833
61,0.98975,0.013978220
62,0.98944,0.013883591
63,0.98912,0.013926111
64,0.98879,0.013957280
65,0.98846,0.013893270
66,0.98812,0.013977188
67,0.98779,0.013994972
68,0.98744,0.013973521
69,0.98710,0.013973020
70,0.98674,0.014020901
71,0.98639,0.012293764
72,0.98603,0.013869455
73,0.98567,0.013982999
74,0.98530,0.013972229
75,0.98493,0.013954425
76,0.98455,0.013942894
77,0.98418,0.014038454
78,0.98379,0.013968542
79,0.98341,0.013950247
80,0.98302,0.013953483
81,0.98262,0.013911424
82,0.98222,0.013850389
83,0.98182,0.013983680
84,0.98142,0.013979592
85,0.98101,0.013954565
86,0.98059,0.013902026
87,0.98018,0.014056838
88,0.97976,0.013981937
89,0.97933,0.013933916
90,0.97890,0.013941791
91,0.97847,0.013991555
92,0.97804,0.014021392
93,0.97760,0.013986796
94,0.97716,0.014053080
95,0.97671,0.014022053
96,0.97626,0.014021992
97,0.97581,0.013974553
98,0.97536,0.013936341
99,0.97490,0.013977899
100,0.97444,0.013964033
101,0.97397,0.013941079
102,0.97350,0.013946109
103,0.97303,0.013898430
104,0.97255,0.013916784
105,0.97208,0.013997396
106,0.97159,0.013916764
107,0.97111,0.014012755
108,0.97062,0.013914169
109,0.97013,0.013940328
110,0.96963,0.014296220
111,0.96914,0.013946770
112,0.96863,0.013900894
113,0.96813,0.014009829
114,0.96762,0.013981656
115,0.96711,0.013887789
116,0.96660,0.013944577
117,0.96608,0.013973030
118,0.96557,0.013969493
119,0.96504,0.014048933
120,0.96452,0.013899321
121,0.96399,0.013944646
122,0.96346,0.014012465
123,0.96293,0.013971217
124,0.96239,0.013923747
125,0.96185,0.013997556
126,0.96131,0.014021902
127,0.96076,0.013920010
128,0.96022,0.013903318
129,0.95967,0.014053261
130,0.95911,0.013981025
131,0.95856,0.013981075
132,0.95800,0.013917154
133,0.95744,0.014035157
134,0.95687,0.013990964
135,0.95631,0.014001443
136,0.95574,0.014032181
137,0.95517,0.013985444
138,0.95459,0.013998178
139,0.95402,0.013992075
140,0.95344,0.014056347
141,0.95285,0.014013947
142,0.95227,0.013952512
143,0.95168,0.013936551
144,0.95109,0.014088106
145,0.95050,0.013956057
146,0.94991,0.014043713
147,0.94931,0.013968361
148,0.94871,0.013999740
149,0.94811,0.013952441
150,0.94751,0.009868322
151,0.94690,0.013847494
152,0.94630,0.013920601
153,0.94569,0.013940689
154,0.94507,0.014024036
155,0.94446,0.013993789
156,0.94384,0.013886176
157,0.94322,0.013953763
158,0.94260,0.013991685
159,0.94198,0.013980134
160,0.94135,0.013984241
161,0.94072,0.013958883
162,0.94009,0.014056698
163,0.93946,0.013962520
164,0.93883,0.014016312
165,0.93819,0.013955367
166,0.93755,0.013970284
167,0.93691,0.013978621
168,0.93627,0.013995453
169,0.93562,0.013931882
170,0.93498,0.013980824
171,0.93433,0.013992897
172,0.93368,0.013979622
173,0.93303,0.013967820
174,0.93237,0.013873251
175,0.93172,0.007233906
176,0.93106,0.013957009
177,0.93040,0.013909440
178,0.92974,0.013934728
179,0.92907,0.013971768
180,0.92841,0.013901004
181,0.92774,0.014001012
182,0.92707,0.013953523
183,0.92640,0.014066707
184,0.92573,0.013970486
185,0.92506,0.014000823
186,0.92438,0.014016512
187,0.92370,0.013937553
188,0.92302,0.014067107
189,0.92234,0.013951088
190,0.92166,0.014004209
191,0.92098,0.014042772
192,0.92029,0.014095991
193,0.91960,0.013947883
194,0.91892,0.013957671
195,0.91822,0.013953844
196,0.91753,0.014009428
197,0.91684,0.014037191
198,0.91614,0.014012694
199,0.91545,0.013940428
200,0.91475,0.014005011
201,0.91405,0.014064503
202,0.91335,0.013926032
203,0.91265,0.014020970
204,0.91194,0.014036640
205,0.91124,0.013948825
206,0.91053,0.013094965
207,0.90982,0.014026150
208,0.90911,0.014035017
209,0.90840,0.013912796
210,0.90769,0.014056237
211,0.90697,0.013991635
212,0.90626,0.013961970
213,0.90554,0.013997286
214,0.90482,0.013894552
215,0.90411,0.014060355
216,0.90339,0.014038573
217,0.90266,0.013997165
218,0.90194,0.007283099
219,0.90122,0.013904380
220,0.90049,0.014001583
221,0.89976,0.014002275
222,0.89904,0.014008387
223,0.89831,0.013959555
224,0.89758,0.013957671
225,0.89685,0.013962440
226,0.89611,0.013983210
227,0.89538,0.013935990
228,0.89465,0.014030358
229,0.89391,0.013917365
230,0.89317,0.014007565
231,0.89244,0.014000031
232,0.89170,0.014050697
233,0.89096,0.014024758
234,0.89022,0.014020420
235,0.88947,0.013896155
236,0.88873,0.013959855
237,0.88799,0.014104227
238,0.88724,0.013898359
239,0.88650,0.007256709
240,0.88575,0.014036550
241,0.88500,0.014001975
242,0.88425,0.013953272
243,0.88350,0.013968872
244,0.88275,0.014002736
245,0.88200,0.014010000
246,0.88125,0.014000272
247,0.88049,0.014018125
248,0.87974,0.013926282
249,0.87899,0.013966879
250,0.87823,0.013987948
251,0.87747,0.013901355
252,0.87671,0.013996714
253,0.87596,0.014020960
254,0.87520,0.014017483
255,0.87444,0.013991264
256,0.87368,0.013975164
257,0.87291,0.013997897
258,0.87215,0.013944506
259,0.87139,0.013979732
260,0.87062,0.014022563
261,0.86986,0.014003838
262,0.86909,0.013918227
263,0.86833,0.014058141
264,0.86756,0.013918798
265,0.86679,0.013852593
266,0.86603,0.013873592
267,0.86526,0.014004970
268,0.86449,0.013984061
269,0.86372,0.013959866
270,0.86295,0.013969102
271,0.86218,0.013952531
272,0.86140,0.013957180
273,0.86063,0.013928096
274,0.85986,0.013922565
275,0.85908,0.013967970
276,0.85831,0.013937323
277,0.85754,0.014011953
278,0.85676,0.013875036
279,0.85598,0.014131819
280,0.85521,0.014003528
281,0.85443,0.013969073
282,0.85365,0.013981516
283,0.85288,0.013998198
