Passo,ValorCentral,Tempo
0,1.00000,0.051765654
1,0.99999,0.050222708
2,0.99998,0.050180068
3,0.99996,0.050178906
4,0.99994,0.050172584
5,0.99991,0.050180739
6,0.99988,0.050182523
7,0.99983,0.050239078
8,0.99979,0.050152476
9,0.99973,0.050174708
10,0.99967,0.050190719
11,0.99961,0.050166403
12,0.99954,0.050177163
13,0.99946,0.050177223
14,0.99938,0.050181991
15,0.99930,0.050190297
16,0.99920,0.050188333
17,0.99911,0.050184607
18,0.99900,0.050187692
19,0.99889,0.050205917
20,0.99878,0.050172394
21,0.99866,0.050171963
22,0.99853,0.050178646
23,0.99840,0.050173977
24,0.99827,0.050278873
25,0.99813,0.050190508
26,0.99798,0.050339227
27,0.99783,0.050188584
28,0.99767,0.050173906
29,0.99751,0.050177072
30,0.99734,0.050176412
31,0.99717,0.050182873
32,0.99699,0.050159710
33,0.99681,0.050151264
34,0.99662,0.050173946
35,0.99643,0.050201428
36,0.99623,0.050196660
37,0.99603,0.050200066
38,0.99582,0.050216336
39,0.99561,0.050319400
40,0.99539,0.050236504
41,0.99517,0.050183685
42,0.99494,0.050212298
43,0.99471,0.050243327
44,0.99448,0.050222778
45,0.99424,0.050191670
46,0.99399,0.050167134
47,0.99374,0.050179116
48,0.99348,0.050182242
49,0.99322,0.050182253
50,0.99296,0.050188344
51,0.99269,0.050163156
52,0.99242,0.050185067
53,0.99214,0.050215264
54,0.99186,0.050183474
55,0.99157,0.050178014
56,0.99128,0.050187442
57,0.99098,0.050177042
58,0.99068,0.050171041
59,0.99038,0.050170269
60,0.99007,0.050173767
61,0.98975,0.050179246
62,0.98944,0.050176061
63,0.98912,0.050175890
64,0.98879,0.050169438
65,0.98846,0.050186710
66,0.98812,0.050191439
67,0.98779,0.050182743
68,0.98744,0.050192050
69,0.98710,0.050177763
70,0.98674,0.050173586
71,0.98639,0.050184716
72,0.98603,0.050205155
73,0.98567,0.050191810
74,0.98530,0.050216166
75,0.98493,0.050181651
76,0.98455,0.050182192
77,0.98418,0.050182051
78,0.98379,0.050173025
79,0.98341,0.050250400
80,0.98302,0.050185458
81,0.98262,0.050195548
82,0.98222,0.050187412
83,0.98182,0.050186460
84,0.98142,0.050177383
85,0.98101,0.050183745
