Passo,ValorCentral,Tempo
0,1.00000,0.019210407
1,0.99999,0.014491377
2,0.99998,0.005853838
3,0.99996,0.001014172
4,0.99994,0.001390919
5,0.99991,0.001035231
6,0.99988,0.001377754
7,0.99983,0.001023569
8,0.99979,0.001379487
9,0.99973,0.001022047
10,0.99967,0.001372014
11,0.99961,0.001030353
12,0.99954,0.001379487
13,0.99946,0.001023169
14,0.99938,0.001375309
15,0.99930,0.000996409
16,0.99920,0.001424482
17,0.99911,0.001000866
18,0.99900,0.001411807
19,0.99889,0.001011747
20,0.99878,0.001436414
21,0.99866,0.001016567
22,0.99853,0.001433658
23,0.99840,0.001021456
24,0.99827,0.001426195
25,0.99813,0.001026626
26,0.99798,0.001442144
27,0.99783,0.001017428
28,0.99767,0.001426385
29,0.99751,0.001020724
30,0.99734,0.001444599
31,0.99717,0.001013551
32,0.99699,0.001430253
33,0.99681,0.001023069
34,0.99662,0.001447535
35,0.99643,0.001019121
36,0.99623,0.001414943
37,0.99603,0.001018410
38,0.99582,0.001451582
39,0.99561,0.001018971
40,0.99539,0.001425904
41,0.99517,0.001019572
42,0.99494,0.001426134
43,0.99471,0.001014683
44,0.99448,0.001433198
45,0.99424,0.001013992
46,0.99399,0.001421536
47,0.99374,0.001019813
48,0.99348,0.001445571
49,0.99322,0.001015534
50,0.99296,0.001423320
51,0.99269,0.001024461
52,0.99242,0.001447405
53,0.99214,0.001017098
54,0.99186,0.001423710
55,0.99157,0.001268569
56,0.99128,0.001629937
57,0.99098,0.001006488
58,0.99068,0.001427797
59,0.99038,0.001009223
60,0.99007,0.001413912
61,0.98975,0.001002720
62,0.98944,0.001425924
63,0.98912,0.001024692
64,0.98879,0.001430232
65,0.98846,0.001007129
66,0.98812,0.001420174
67,0.98779,0.001016046
68,0.98744,0.001441323
69,0.98710,0.001017027
70,0.98674,0.001416908
71,0.98639,0.001021025
72,0.98603,0.001454197
73,0.98567,0.001015655
74,0.98530,0.001413260
75,0.98493,0.001022087
76,0.98455,0.001462433
77,0.98418,0.001019321
78,0.98379,0.001424141
79,0.98341,0.001015935
80,0.98302,0.001439229
81,0.98262,0.001018781
82,0.98222,0.001426365
83,0.98182,0.001016286
84,0.98142,0.001417829
85,0.98101,0.001021776
86,0.98059,0.001432506
87,0.98018,0.001014212
88,0.97976,0.001405105
89,0.97933,0.001024972
90,0.97890,0.001441473
91,0.97847,0.001016085
92,0.97804,0.001422327
93,0.97760,0.001023690
94,0.97716,0.001448246
95,0.97671,0.001018510
96,0.97626,0.001416516
97,0.97581,0.001020724
98,0.97536,0.001446783
99,0.97490,0.001019632
100,0.97444,0.001423419
101,0.97397,0.001013050
102,0.97350,0.001426796
103,0.97303,0.001020684
104,0.97255,0.001434210
105,0.97208,0.001030853
106,0.97159,0.001417168
107,0.97111,0.001028689
108,0.97062,0.001438508
109,0.97013,0.001015744
110,0.96963,0.001415575
111,0.96914,0.001020243
112,0.96863,0.001440903
113,0.96813,0.001017378
114,0.96762,0.001426496
115,0.96711,0.001022869
116,0.96660,0.001453776
117,0.96608,0.001017257
118,0.96557,0.001416116
119,0.96504,0.001022347
120,0.96452,0.001459377
121,0.96399,0.001022016
122,0.96346,0.001419542
123,0.96293,0.001022228
124,0.96239,0.001420815
125,0.96185,0.001029460
126,0.96131,0.001432015
127,0.96076,0.001025213
128,0.96022,0.001423430
129,0.95967,0.001038137
130,0.95911,0.001435242
131,0.95856,0.001027126
132,0.95800,0.001416396
133,0.95744,0.001041994
134,0.95687,0.001443016
135,0.95631,0.001025954
136,0.95574,0.001431916
137,0.95517,0.001264391
138,0.95459,0.001861471
139,0.95402,0.001014282
140,0.95344,0.001423730
141,0.95285,0.001010886
142,0.95227,0.001410886
143,0.95168,0.001013691
144,0.95109,0.001445971
145,0.95050,0.001030703
146,0.94991,0.001431846
147,0.94931,0.001017659
148,0.94871,0.001453326
149,0.94811,0.001022588
150,0.94751,0.001423500
151,0.94690,0.001021445
152,0.94630,0.001463585
153,0.94569,0.001029410
154,0.94507,0.001432877
155,0.94446,0.001024662
156,0.94384,0.001453506
157,0.94322,0.001030593
158,0.94260,0.001444299
159,0.94198,0.001026676
160,0.94135,0.001434299
161,0.94072,0.001042345
162,0.94009,0.001440902
163,0.93946,0.001029621
164,0.93883,0.001437385
165,0.93819,0.001113749
166,0.93755,0.001440822
167,0.93691,0.001035001
168,0.93627,0.001424411
169,0.93562,0.001041233
170,0.93498,0.001436824
171,0.93433,0.001022057
172,0.93368,0.001432717
173,0.93303,0.001030232
174,0.93237,0.001450390
175,0.93172,0.001023900
176,0.93106,0.001434560
177,0.93040,0.001026916
178,0.92974,0.001444469
