Passo,ValorCentral,Tempo_false_32,Tempo_false_64,Tempo_false_128,Tempo_true_32,Tempo_true_64,Tempo_true_128,Tempo_close_32,Tempo_close_64,Tempo_close_128,Tempo_spread_32,Tempo_spread_64,Tempo_spread_128,Tempo_master_32,Tempo_master_64,Tempo_master_128
0,1.00000,0.028259,0.023192,0.025317,0.027065,0.022862,0.021938,0.027187,0.020778,0.024603,0.027153,0.023932,0.022961,0.027036,0.020732,0.022057
1,0.99999,0.026769,0.016299,0.015064,0.026743,0.016826,0.014449,0.026791,0.016129,0.015105,0.026814,0.017151,0.014991,0.026786,0.016156,0.014529
2,0.99998,0.026719,0.018876,0.016281,0.026715,0.018411,0.016813,0.026736,0.016587,0.017500,0.027250,0.018674,0.016937,0.026714,0.017037,0.017047
3,0.99996,0.026703,0.016056,0.014540,0.027180,0.016082,0.014338,0.026748,0.016412,0.014018,0.026708,0.016235,0.014368,0.027176,0.016313,0.014483
4,0.99994,0.027239,0.018487,0.015395,0.026989,0.018568,0.014913,0.026704,0.016310,0.015433,0.026766,0.018605,0.015451,0.026659,0.016446,0.014928
5,0.99991,0.026726,0.016311,0.014579,0.026900,0.016157,0.014525,0.027233,0.016410,0.014617,0.027059,0.016183,0.014947,0.026724,0.016379,0.014896
6,0.99988,0.026836,0.017188,0.014799,0.027167,0.017314,0.014779,0.026624,0.016331,0.015225,0.026789,0.018003,0.014996,0.026834,0.016445,0.014784
7,0.99983,0.027190,0.016039,0.014695,0.026704,0.016896,0.014617,0.026789,0.016491,0.014465,0.026815,0.016511,0.014980,0.027153,0.016469,0.014933
8,0.99979,0.026814,0.016663,0.014581,0.026680,0.016808,0.014706,0.027162,0.018388,0.014640,0.026824,0.016695,0.015003,0.026791,0.016554,0.014788
9,0.99973,0.026767,0.016139,0.014698,0.026716,0.016210,0.014871,0.026825,0.016160,0.014588,0.027188,0.016224,0.014570,0.026789,0.016584,0.015102
10,0.99967,0.026801,0.016406,0.014633,0.027094,0.016547,0.014650,0.026794,0.016408,0.014670,0.026757,0.016644,0.015082,0.026810,0.016369,0.014775
11,0.99961,0.027133,0.016474,0.014889,0.026730,0.016323,0.014601,0.026788,0.016395,0.014602,0.026749,0.016238,0.014746,0.027127,0.016416,0.014521
12,0.99954,0.026679,0.016286,0.014578,0.026693,0.016479,0.014654,0.027147,0.016416,0.014690,0.026839,0.016360,0.014689,0.026685,0.016417,0.014713
13,0.99946,0.026784,0.016170,0.014565,0.026729,0.016437,0.014594,0.026807,0.016393,0.014791,0.027114,0.016603,0.014615,0.026733,0.016443,0.014569
14,0.99938,0.026671,0.016376,0.014680,0.027082,0.016286,0.015000,0.026796,0.016755,0.014719,0.026810,0.016352,0.014711,0.027067,0.016387,0.014741
15,0.99930,0.027179,0.016249,0.014584,0.026713,0.016269,0.014662,0.026783,0.016384,0.014582,0.026756,0.016310,0.014603,0.026692,0.016428,0.014586
16,0.99920,0.026708,0.016289,0.014693,0.026713,0.016276,0.015121,0.027192,0.016331,0.014955,0.026802,0.016271,0.014734,0.026698,0.016285,0.014926
17,0.99911,0.026750,0.016569,0.014567,0.026760,0.016293,0.014797,0.026752,0.016377,0.014567,0.027259,0.016301,0.014597,0.026667,0.016432,0.014557
18,0.99900,0.026638,0.016180,0.014989,0.026765,0.016266,0.014915,0.026860,0.016412,0.014690,0.026694,0.016315,0.015084,0.026993,0.016418,0.014730
19,0.99889,0.027129,0.016304,0.014467,0.027231,0.016490,0.014836,0.026784,0.016429,0.014609,0.026819,0.016401,0.014554,0.026682,0.016436,0.014589
20,0.99878,0.026703,0.016293,0.014709,0.026721,0.016257,0.014910,0.027234,0.016612,0.015429,0.027034,0.016322,0.014730,0.026578,0.016400,0.014691
21,0.99866,0.026668,0.016262,0.014586,0.026777,0.016262,0.014812,0.026794,0.016354,0.014486,0.026806,0.016247,0.014593,0.026700,0.016648,0.014591
22,0.99853,0.026641,0.016346,0.014661,0.027063,0.016309,0.014921,0.026789,0.016388,0.014997,0.026694,0.016320,0.014685,0.027066,0.017062,0.014702
