Passo,ValorCentral,Tempo_false_32,Tempo_false_64,Tempo_false_128,Tempo_true_32,Tempo_true_64,Tempo_true_128,Tempo_close_32,Tempo_close_64,Tempo_close_128,Tempo_spread_32,Tempo_spread_64,Tempo_spread_128,Tempo_master_32,Tempo_master_64,Tempo_master_128
0,1.00000,0.000964,0.000945,0.013470,0.000006,0.000010,0.013428,0.000039,0.000010,0.013470,0.000006,0.000010,0.013542,0.000006,0.000010,0.013544
1,0.99999,0.000010,0.000013,0.013495,0.000006,0.000010,0.013586,0.000006,0.000010,0.013470,0.000007,0.000010,0.013562,0.000007,0.000010,0.013559
2,0.99998,0.000007,0.000011,0.013470,0.000006,0.000010,0.013427,0.000006,0.000010,0.013479,0.000006,0.000010,0.013517,0.000006,0.000010,0.013559
3,0.99996,0.000008,0.000011,0.013445,0.000006,0.000010,0.013465,0.000012,0.000010,0.013454,0.000007,0.000010,0.013609,0.000006,0.000010,0.013573
4,0.99994,0.000007,0.000011,0.013468,0.000006,0.000010,0.013468,0.000006,0.000010,0.013479,0.000006,0.000009,0.013568,0.000006,0.000010,0.013559
5,0.99991,0.000007,0.000011,0.013452,0.000006,0.000010,0.013414,0.000006,0.000010,0.013473,0.000006,0.000010,0.013573,0.000007,0.000010,0.013562
6,0.99988,0.000008,0.000011,0.013389,0.000006,0.000010,0.013432,0.000006,0.000010,0.013453,0.000006,0.000010,0.013555,0.000006,0.000010,0.013583
7,0.99983,0.000008,0.000011,0.013455,0.000006,0.000010,0.013421,0.000006,0.000010,0.013464,0.000007,0.000010,0.013610,0.000006,0.000010,0.013575
8,0.99979,0.000008,0.000011,0.013436,0.000007,0.000009,0.013447,0.000006,0.000010,0.013490,0.000006,0.000010,0.013559,0.000006,0.000010,0.013538
9,0.99973,0.000007,0.000011,0.013457,0.000006,0.000010,0.013442,0.000006,0.000010,0.013462,0.000006,0.000010,0.013586,0.000006,0.000010,0.013479
10,0.99967,0.000007,0.000010,0.013491,0.000006,0.000010,0.013425,0.000006,0.000010,0.013474,0.000006,0.000010,0.013584,0.000006,0.000010,0.013476
11,0.99961,0.000007,0.000010,0.013468,0.000006,0.000009,0.013468,0.000006,0.000010,0.013477,0.000007,0.000010,0.013554,0.000007,0.000011,0.013470
12,0.99954,0.000007,0.000011,0.013456,0.000007,0.000010,0.013422,0.000006,0.000010,0.013465,0.000006,0.000010,0.013573,0.000006,0.000010,0.013469
13,0.99946,0.000007,0.000011,0.013500,0.000006,0.000010,0.013391,0.000006,0.000010,0.013472,0.000006,0.000010,0.013581,0.000006,0.000010,0.013476
14,0.99938,0.000007,0.000010,0.013465,0.000007,0.000009,0.013441,0.000007,0.000010,0.013487,0.000006,0.000010,0.013570,0.000006,0.000010,0.013503
15,0.99930,0.000007,0.000011,0.013450,0.000006,0.000010,0.013412,0.000006,0.000010,0.013466,0.000007,0.000009,0.013583,0.000006,0.000010,0.013600
16,0.99920,0.000007,0.000011,0.013471,0.000006,0.000010,0.013417,0.000006,0.000010,0.013471,0.000006,0.000010,0.013570,0.000006,0.000010,0.013569
17,0.99911,0.000008,0.000011,0.013490,0.000006,0.000010,0.013403,0.000006,0.000010,0.013515,0.000007,0.000010,0.013554,0.000006,0.000010,0.013580
18,0.99900,0.000007,0.000010,0.013435,0.000006,0.000010,0.013431,0.000006,0.000010,0.013473,0.000006,0.000010,0.013580,0.000006,0.000009,0.013551
19,0.99889,0.000008,0.000010,0.013479,0.000006,0.000010,0.013410,0.000006,0.000010,0.013461,0.000006,0.000010,0.013623,0.000006,0.000010,0.013564
20,0.99878,0.000007,0.000011,0.013491,0.000006,0.000010,0.013402,0.000006,0.000010,0.013487,0.000007,0.000010,0.013586,0.000006,0.000010,0.013593
21,0.99866,0.000007,0.000105,0.013489,0.000006,0.000010,0.013420,0.000006,0.000010,0.013465,0.000006,0.000009,0.013613,0.000006,0.000010,0.013553
22,0.99853,0.000007,0.000011,0.013448,0.000006,0.000010,0.013443,0.000006,0.000010,0.013487,0.000007,0.000010,0.013491,0.000006,0.000009,0.013570
23,0.99840,0.000007,0.000010,0.013492,0.000006,0.000009,0.013417,0.000007,0.000010,0.013467,0.000006,0.000010,0.013522,0.000006,0.000011,0.013583
24,0.99827,0.000007,0.000011,0.013487,0.000006,0.000010,0.013404,0.000006,0.000010,0.013505,0.000006,0.000010,0.013615,0.000006,0.000010,0.013578
25,0.99813,0.000007,0.000010,0.013468,0.000006,0.000010,0.013436,0.000007,0.000010,0.013491,0.000006,0.000009,0.013593,0.000006,0.000010,0.013554
26,0.99798,0.000007,0.000011,0.013456,0.000006,0.000010,0.013420,0.000006,0.000010,0.013499,0.000007,0.000009,0.013578,0.000006,0.000010,0.013553
27,0.99783,0.000007,0.000012,0.013456,0.000006,0.000010,0.013418,0.000006,0.000010,0.013473,0.000006,0.000010,0.013631,0.000006,0.000010,0.013585
28,0.99767,0.000007,0.000011,0.013453,0.000007,0.000010,0.013437,0.000006,0.000010,0.013436,0.000006,0.000010,0.013587,0.000006,0.000010,0.013549
29,0.99751,0.000007,0.000011,0.013462,0.000007,0.000010,0.013412,0.000006,0.000010,0.013423,0.000006,0.000010,0.013600,0.000007,0.000010,0.013538
30,0.99734,0.000008,0.000010,0.013481,0.000006,0.000009,0.013427,0.000006,0.000010,0.013433,0.000006,0.000010,0.013626,0.000006,0.000010,0.013573
31,0.99717,0.000007,0.000011,0.013459,0.000006,0.000010,0.013431,0.000007,0.000010,0.013439,0.000006,0.000009,0.013565,0.000006,0.000009,0.013564
32,0.99699,0.000007,0.000010,0.013461,0.000006,0.000010,0.013408,0.000006,0.000010,0.013424,0.000006,0.000010,0.013575,0.000006,0.000010,0.013622
33,0.99681,0.000007,0.000012,0.013471,0.000006,0.000010,0.013434,0.000006,0.000010,0.013402,0.000006,0.000009,0.013569,0.000006,0.000010,0.013557
