problem_size,nodes,processes,threads_per_process,total_time,computation_time,communication_time
small,1,4,8,0.583765,0.550607,0.012013
small,2,4,4,1.099163,0.852732,0.114620
small,2,8,8,0.475924,0.315341,0.072803
small,1,2,4,3.264892,3.189794,0.017256
small,2,2,2,4.363787,4.103122,0.139180
small,1,1,2,8.008795,8.007075,0.000000
medium,1,4,8,1.836733,1.731650,0.016069
medium,2,4,4,3.587617,3.271748,0.124940
medium,1,2,4,11.753369,11.607042,0.019397
medium,2,2,2,18.453578,17.283304,0.679212
medium,1,1,2,33.674202,33.666787,0.000000
medium,2,8,8,1.212420,0.952984,0.113947
large,2,4,4,13.502725,13.009292,0.139788
large,2,8,8,28.938489,16.300380,0.149700
large,2,2,2,64.783935,63.846391,0.469253
small,4,8,4,0.995949,0.639805,0.175454
small,4,4,2,2.363831,1.986210,0.200614
medium,4,8,4,2.536858,2.190665,0.185298
medium,4,4,2,8.337660,7.658435,0.252683
large,4,8,4,9.060317,8.542502,0.251000
large,4,4,2,34.158938,32.634492,0.509967
