problem_size,nodes,processes,threads_per_process,total_time,computation_time,communication_time,speedup,efficiency
small,1,1,2,8.008795,8.007075,0.0,1.0,1.0
small,1,2,4,3.264892,3.189794,0.017256,2.4530045710547235,1.2265022855273617
small,1,4,8,0.583765,0.550607,0.012013,13.719210641268317,3.4298026603170793
small,2,2,2,4.363787,4.103122,0.13918,1.8352854985818507,0.9176427492909254
small,2,4,4,1.099163,0.852732,0.11462,7.286266914006385,1.8215667285015962
small,2,8,8,0.475924,0.315341,0.072803,16.827886385221166,2.103485798152646
small,4,4,2,2.363831,1.98621,0.200614,3.388057352661844,0.847014338165461
small,4,8,4,0.995949,0.639805,0.175454,8.041370592269283,1.0051713240336604
medium,1,1,2,33.674202,33.666787,0.0,1.0,1.0
medium,1,2,4,11.753369,11.607042,0.019397,2.8650680498502177,1.4325340249251088
medium,1,4,8,1.836733,1.73165,0.016069,18.333749107790844,4.583437276947711
medium,2,2,2,18.453578,17.283304,0.679212,1.8248061161905837,0.9124030580952919
medium,2,4,4,3.587617,3.271748,0.12494,9.386231027448025,2.346557756862006
medium,2,8,8,1.21242,0.952984,0.113947,27.774370267729005,3.4717962834661256
medium,4,4,2,8.33766,7.658435,0.252683,4.038807291254381,1.0097018228135952
medium,4,8,4,2.536858,2.190665,0.185298,13.273979860126188,1.6592474825157735
large,2,2,2,64.783935,63.846391,0.469253,1.0,0.5
large,2,4,4,13.502725,13.009292,0.139788,4.797841546798887,1.1994603866997218
large,2,8,8,28.938489,16.30038,0.1497,2.238677181797571,0.27983464772469635
large,4,4,2,34.158938,32.634492,0.509967,1.8965441782762684,0.4741360445690671
large,4,8,4,9.060317,8.542502,0.251,7.150294520600108,0.8937868150750135
