Passo,ValorCentral,Tempo
0,1.00000,0.084189117
1,0.99999,0.000646144
2,0.99998,0.000643808
3,0.99996,0.000647008
4,0.99994,0.000643904
5,0.99991,0.000643840
6,0.99988,0.000643552
7,0.99983,0.000646464
8,0.99979,0.000642272
9,0.99973,0.000644256
10,0.99967,0.000643680
11,0.99961,0.000643776
12,0.99954,0.000642624
13,0.99946,0.000644448
14,0.99938,0.000642912
15,0.99930,0.000644704
16,0.99920,0.000644160
17,0.99911,0.000644864
18,0.99900,0.000643616
19,0.99889,0.000643744
20,0.99878,0.000642080
21,0.99866,0.000645024
22,0.99853,0.000643232
23,0.99840,0.000645536
24,0.99827,0.000640768
25,0.99813,0.000643456
26,0.99798,0.000644704
27,0.99783,0.000646560
28,0.99767,0.000642784
29,0.99751,0.000643552
30,0.99734,0.000642848
31,0.99717,0.000646208
32,0.99699,0.000642208
33,0.99681,0.000645376
34,0.99662,0.000646464
35,0.99643,0.000643456
36,0.99623,0.000643200
37,0.99603,0.000643840
38,0.99582,0.000642240
39,0.99561,0.000644576
40,0.99539,0.000645184
41,0.99517,0.000643968
42,0.99494,0.000643456
43,0.99471,0.000643232
44,0.99448,0.000643264
45,0.99424,0.000644128
46,0.99399,0.000644896
47,0.99374,0.000643648
48,0.99348,0.000642080
49,0.99322,0.000644608
50,0.99296,0.000644288
51,0.99269,0.000643584
52,0.99242,0.000644384
53,0.99214,0.000643808
54,0.99186,0.000644032
55,0.99157,0.000644960
56,0.99128,0.000643584
57,0.99098,0.000645600
58,0.99068,0.000644000
59,0.99038,0.000644672
60,0.99007,0.000642016
61,0.98975,0.000643328
62,0.98944,0.000641120
63,0.98912,0.000645952
64,0.98879,0.000642048
65,0.98846,0.000644256
66,0.98812,0.000646048
67,0.98779,0.000647584
68,0.98744,0.000644608
69,0.98710,0.000648384
70,0.98674,0.000645120
71,0.98639,0.000644096
72,0.98603,0.000643328
73,0.98567,0.000645536
74,0.98530,0.000642176
75,0.98493,0.000640960
76,0.98455,0.000644256
77,0.98418,0.000645504
78,0.98379,0.000644288
79,0.98341,0.000645760
80,0.98302,0.000642880
81,0.98262,0.000645504
82,0.98222,0.000644480
83,0.98182,0.000643424
84,0.98142,0.000643520
85,0.98101,0.000643040
86,0.98059,0.000643808
87,0.98018,0.000645376
88,0.97976,0.000645056
89,0.97933,0.000645792
90,0.97890,0.000643136
91,0.97847,0.000641952
92,0.97804,0.000642144
93,0.97760,0.000643616
94,0.97716,0.000643328
95,0.97671,0.000645504
96,0.97626,0.000646208
97,0.97581,0.000648288
98,0.97536,0.000643072
99,0.97490,0.000646336
100,0.97444,0.000644800
101,0.97397,0.000643264
102,0.97350,0.000641536
103,0.97303,0.000643328
104,0.97255,0.000644352
105,0.97208,0.000645344
106,0.97159,0.000641504
107,0.97111,0.000644608
108,0.97062,0.000642752
109,0.97013,0.000645888
110,0.96963,0.000642304
111,0.96914,0.000645760
112,0.96863,0.000643456
113,0.96813,0.000648032
114,0.96762,0.000644128
115,0.96711,0.000647392
116,0.96660,0.000643136
117,0.96608,0.000645440
118,0.96557,0.000644096
119,0.96504,0.000643552
120,0.96452,0.000645248
121,0.96399,0.000649088
122,0.96346,0.000642176
123,0.96293,0.000644864
124,0.96239,0.000643712
125,0.96185,0.000644864
126,0.96131,0.000645312
127,0.96076,0.000647488
128,0.96022,0.000644320
129,0.95967,0.000646656
130,0.95911,0.000644192
131,0.95856,0.000642816
132,0.95800,0.000647904
133,0.95744,0.000644032
134,0.95687,0.000641824
135,0.95631,0.000647840
136,0.95574,0.000643136
137,0.95517,0.000642368
138,0.95459,0.000644352
139,0.95402,0.000644256
140,0.95344,0.000642880
141,0.95285,0.000646848
142,0.95227,0.000643360
143,0.95168,0.000645984
144,0.95109,0.000642176
145,0.95050,0.000643744
146,0.94991,0.000640896
147,0.94931,0.000645120
148,0.94871,0.000647104
149,0.94811,0.000644320
150,0.94751,0.000644448
151,0.94690,0.000647552
152,0.94630,0.000643936
153,0.94569,0.000647648
154,0.94507,0.000642304
155,0.94446,0.000642336
156,0.94384,0.000647328
157,0.94322,0.000647424
158,0.94260,0.000641664
159,0.94198,0.000646912
160,0.94135,0.000643328
161,0.94072,0.000643072
162,0.94009,0.000645152
163,0.93946,0.000644224
164,0.93883,0.000642720
