Passo,ValorCentral,Tempo
0,1.00000,0.032838909
1,0.99999,0.028097203
2,0.99998,0.028078878
3,0.99996,0.028199834
4,0.99994,0.028226810
5,0.99991,0.028240723
6,0.99988,0.028207254
7,0.99983,0.028456790
8,0.99979,0.028335509
9,0.99973,0.028317561
10,0.99967,0.028316225
11,0.99961,0.028318778
12,0.99954,0.028409002
13,0.99946,0.028428698
14,0.99938,0.028268120
15,0.99930,0.028509858
16,0.99920,0.028283155
17,0.99911,0.028339537
18,0.99900,0.028439549
19,0.99889,0.028425580
20,0.99878,0.028133897
21,0.99866,0.028463000
22,0.99853,0.028185159
23,0.99840,0.029152025
24,0.99827,0.028222392
25,0.99813,0.028477992
26,0.99798,0.028303516
27,0.99783,0.028333555
28,0.99767,0.028174866
29,0.99751,0.028265932
30,0.99734,0.028164054
31,0.99717,0.028295238
32,0.99699,0.028193031
33,0.99681,0.028233736
34,0.99662,0.028154623
35,0.99643,0.031266126
36,0.99623,0.027973555
37,0.99603,0.028410733
38,0.99582,0.028110028
39,0.99561,0.028269648
40,0.99539,0.028164711
41,0.99517,0.028272485
42,0.99494,0.028201449
43,0.99471,0.028279238
44,0.99448,0.028189155
45,0.99424,0.028317180
46,0.99399,0.028146215
47,0.99374,0.028307895
48,0.99348,0.028157336
49,0.99322,0.028286339
50,0.99296,0.028144412
51,0.99269,0.028305773
52,0.99242,0.028180166
53,0.99214,0.028225279
54,0.99186,0.028208391
55,0.99157,0.028309824
56,0.99128,0.028263331
57,0.99098,0.028281480
58,0.99068,0.028170159
59,0.99038,0.028264194
60,0.99007,0.028224107
61,0.98975,0.028224089
62,0.98944,0.028198501
63,0.98912,0.028528075
64,0.98879,0.028161258
65,0.98846,0.028240036
66,0.98812,0.028217250
67,0.98779,0.029049125
68,0.98744,0.029943603
69,0.98710,0.030117393
70,0.98674,0.033939525
71,0.98639,0.029815689
72,0.98603,0.029921108
73,0.98567,0.029911813
74,0.98530,0.029844614
75,0.98493,0.029779558
76,0.98455,0.029820080
77,0.98418,0.029802935
78,0.98379,0.029810909
79,0.98341,0.029758846
80,0.98302,0.029737256
81,0.98262,0.029760174
82,0.98222,0.029800381
83,0.98182,0.029787465
84,0.98142,0.029712570
85,0.98101,0.029742781
86,0.98059,0.029750848
87,0.98018,0.029696531
88,0.97976,0.029737064
89,0.97933,0.029743256
90,0.97890,0.029779628
91,0.97847,0.029689293
92,0.97804,0.029749047
