Passo,ValorCentral,Tempo
0,1.00000,0.039836007
1,0.99999,0.039653165
2,0.99998,0.039211206
3,0.99996,0.039228639
4,0.99994,0.039161022
5,0.99991,0.039222577
6,0.99988,0.039222757
7,0.99983,0.039277570
8,0.99979,0.039170821
9,0.99973,0.039253916
10,0.99967,0.039215553
11,0.99961,0.039152496
12,0.99954,0.039188593
13,0.99946,0.039233567
14,0.99938,0.039271539
15,0.99930,0.039203662
16,0.99920,0.039217308
17,0.99911,0.056540325
18,0.99900,0.061883916
19,0.99889,0.049791638
20,0.99878,0.053235086
21,0.99866,0.053193668
22,0.99853,0.052803476
23,0.99840,0.046753129
24,0.99827,0.052789279
25,0.99813,0.053254252
26,0.99798,0.052824095
27,0.99783,0.053143925
28,0.99767,0.052641272
29,0.99751,0.053338440
30,0.99734,0.052007012
31,0.99717,0.053368957
32,0.99699,0.053080897
33,0.99681,0.053117896
34,0.99662,0.052795091
35,0.99643,0.053102607
36,0.99623,0.052767900
37,0.99603,0.052985949
38,0.99582,0.052837340
39,0.99561,0.053100533
40,0.99539,0.052798266
41,0.99517,0.052975429
42,0.99494,0.052707236
43,0.99471,0.046220450
44,0.99448,0.039250259
45,0.99424,0.039285906
46,0.99399,0.039272461
47,0.99374,0.039292408
48,0.99348,0.039262301
49,0.99322,0.039332954
50,0.99296,0.039295123
51,0.99269,0.039285024
52,0.99242,0.039285395
53,0.99214,0.039251201
54,0.99186,0.039312035
55,0.99157,0.039273212
56,0.99128,0.039249808
57,0.99098,0.039336341
58,0.99068,0.039269846
59,0.99038,0.039347191
60,0.99007,0.039272792
61,0.98975,0.039300363
62,0.98944,0.039295904
63,0.98912,0.039252864
64,0.98879,0.039264806
65,0.98846,0.039276027
66,0.98812,0.039301084
67,0.98779,0.039330519
68,0.98744,0.039300584
69,0.98710,0.039332564
70,0.98674,0.039421150
71,0.98639,0.039486673
72,0.98603,0.039506600
73,0.98567,0.039523762
74,0.98530,0.039314630
75,0.98493,0.039351198
76,0.98455,0.039496811
77,0.98418,0.039529462
78,0.98379,0.039391925
79,0.98341,0.039291066
80,0.98302,0.039326963
81,0.98262,0.039321111
82,0.98222,0.039259977
83,0.98182,0.039241542
84,0.98142,0.039313167
85,0.98101,0.039282119
86,0.98059,0.039325140
87,0.98018,0.039289402
88,0.97976,0.039327323
89,0.97933,0.039267892
90,0.97890,0.039257453
91,0.97847,0.039341711
92,0.97804,0.039331151
93,0.97760,0.039278753
94,0.97716,0.039276940
95,0.97671,0.039274064
96,0.97626,0.039253926
97,0.97581,0.039301435
98,0.97536,0.039313268
99,0.97490,0.039296535
100,0.97444,0.039254737
101,0.97397,0.039274384
102,0.97350,0.039314700
103,0.97303,0.039335068
104,0.97255,0.039253515
105,0.97208,0.039293400
106,0.97159,0.039248776
107,0.97111,0.039252162
108,0.97062,0.039214462
109,0.97013,0.039315642
110,0.96963,0.052520115
111,0.96914,0.061309949
112,0.96863,0.053887139
113,0.96813,0.049768855
114,0.96762,0.053275391
115,0.96711,0.052769172
116,0.96660,0.053646407
117,0.96608,0.053137914
118,0.96557,0.052125424
119,0.96504,0.052894868
120,0.96452,0.053233713
121,0.96399,0.052851727
122,0.96346,0.053065748
123,0.96293,0.052810209
124,0.96239,0.052132689
125,0.96185,0.052747441
126,0.96131,0.053260683
127,0.96076,0.052954289
128,0.96022,0.053502938
129,0.95967,0.053164403
130,0.95911,0.053311930
131,0.95856,0.053194720
132,0.95800,0.053072090
133,0.95744,0.050774581
134,0.95687,0.053003021
135,0.95631,0.053126011
136,0.95574,0.053465448
137,0.95517,0.051399694
138,0.95459,0.053049799
139,0.95402,0.051951849
140,0.95344,0.051994309
141,0.95285,0.052622477
142,0.95227,0.052378679
143,0.95168,0.052776696
144,0.95109,0.053182327
145,0.95050,0.053144386
146,0.94991,0.053491537
147,0.94931,0.053010134
148,0.94871,0.053121152
149,0.94811,0.052804678
150,0.94751,0.051455458
151,0.94690,0.052687940
152,0.94630,0.046283088
153,0.94569,0.039243346
154,0.94507,0.039311043
155,0.94446,0.039247343
156,0.94384,0.039251712
157,0.94322,0.039274695
158,0.94260,0.039378800
159,0.94198,0.039368531
160,0.94135,0.039431138
161,0.94072,0.039193683
162,0.94009,0.039269064
