Passo,ValorCentral,Tempo
0,1.00000,0.022696013
1,0.99999,0.022268507
2,0.99998,0.022246114
3,0.99996,0.022261534
4,0.99994,0.022236365
5,0.99991,0.022216278
6,0.99988,0.022285207
7,0.99983,0.022205508
8,0.99979,0.022250162
9,0.99973,0.022224283
10,0.99967,0.022219214
11,0.99961,0.022241485
12,0.99954,0.022232689
13,0.99946,0.022177184
14,0.99938,0.022247727
15,0.99930,0.022270410
16,0.99920,0.022211278
17,0.99911,0.022271902
18,0.99900,0.022337106
19,0.99889,0.022218151
20,0.99878,0.022227008
21,0.99866,0.022256714
22,0.99853,0.022328360
23,0.99840,0.022322579
24,0.99827,0.022295798
25,0.99813,0.022266372
26,0.99798,0.022297601
27,0.99783,0.022261453
28,0.99767,0.022217551
29,0.99751,0.022283665
30,0.99734,0.022311497
31,0.99717,0.022283725
32,0.99699,0.022337547
33,0.99681,0.022314222
34,0.99662,0.022342947
35,0.99643,0.022301789
36,0.99623,0.022412177
37,0.99603,0.022371480
38,0.99582,0.022418078
39,0.99561,0.022335803
40,0.99539,0.022313391
41,0.99517,0.022313992
42,0.99494,0.022279608
43,0.99471,0.022315605
44,0.99448,0.022335272
45,0.99424,0.022331486
46,0.99399,0.022299405
47,0.99374,0.022280199
48,0.99348,0.022323270
49,0.99322,0.022272644
50,0.99296,0.022303172
51,0.99269,0.022303592
52,0.99242,0.022315665
53,0.99214,0.022311006
54,0.99186,0.022344700
55,0.99157,0.022333670
56,0.99128,0.022296810
57,0.99098,0.022291810
58,0.99068,0.022322327
59,0.99038,0.022299425
60,0.99007,0.022336635
61,0.98975,0.022348728
62,0.98944,0.022317659
63,0.98912,0.022309744
64,0.98879,0.022358205
65,0.98846,0.022346754
66,0.98812,0.022340011
67,0.98779,0.022328710
68,0.98744,0.022373444
69,0.98710,0.022320615
70,0.98674,0.022274718
71,0.98639,0.022348106
72,0.98603,0.022286310
73,0.98567,0.022326646
74,0.98530,0.022313080
75,0.98493,0.022339600
76,0.98455,0.022294946
77,0.98418,0.022299505
78,0.98379,0.022294656
79,0.98341,0.022338789
80,0.98302,0.022301017
81,0.98262,0.022355240
82,0.98222,0.022366261
83,0.98182,0.022332207
84,0.98142,0.022337286
85,0.98101,0.022338529
86,0.98059,0.022332597
87,0.98018,0.022327498
88,0.97976,0.022375719
89,0.97933,0.022337296
90,0.97890,0.022323761
91,0.97847,0.022366201
92,0.97804,0.022323029
93,0.97760,0.022333619
94,0.97716,0.022331575
95,0.97671,0.022352605
96,0.97626,0.022336124
97,0.97581,0.022333860
98,0.97536,0.022350992
99,0.97490,0.022311908
100,0.97444,0.022359588
101,0.97397,0.022393462
102,0.97350,0.022331035
103,0.97303,0.022318050
104,0.97255,0.022327758
105,0.97208,0.022380057
106,0.97159,0.022351523
107,0.97111,0.030275082
108,0.97062,0.051316936
109,0.97013,0.035999416
110,0.96963,0.031994694
111,0.96914,0.031999274
112,0.96863,0.031997119
113,0.96813,0.032002088
114,0.96762,0.031995958
115,0.96711,0.032000226
116,0.96660,0.035928803
117,0.96608,0.032065859
118,0.96557,0.031996568
119,0.96504,0.032000947
120,0.96452,0.031998221
121,0.96399,0.032001718
122,0.96346,0.031993513
123,0.96293,0.031999944
124,0.96239,0.031998131
125,0.96185,0.032013430
126,0.96131,0.031982642
127,0.96076,0.027994302
128,0.96022,0.031998472
129,0.95967,0.031996789
130,0.95911,0.032001968
131,0.95856,0.031997199
132,0.95800,0.031000199
133,0.95744,0.031996738
134,0.95687,0.032009883
135,0.95631,0.031984124
136,0.95574,0.032010064
137,0.95517,0.031984586
138,0.95459,0.035708427
139,0.95402,0.032290773
140,0.95344,0.031999083
141,0.95285,0.031997740
142,0.95227,0.031997340
143,0.95168,0.032005114
144,0.95109,0.031994895
145,0.95050,0.031997149
146,0.94991,0.031998281
