Passo,ValorCentral,Tempo
0,1.00000,0.001112658
1,0.99999,0.001004895
2,0.99998,0.001144818
3,0.99996,0.000876522
4,0.99994,0.000921828
5,0.99991,0.000869139
6,0.99988,0.000919153
7,0.99983,0.000873066
8,0.99979,0.000876372
9,0.99973,0.000856415
10,0.99967,0.000913693
11,0.99961,0.000868357
12,0.99954,0.000936226
13,0.99946,0.000897262
14,0.99938,0.000916488
15,0.99930,0.000880069
16,0.99920,0.000923210
17,0.99911,0.000875991
18,0.99900,0.000925235
19,0.99889,0.000866865
20,0.99878,0.000929473
21,0.99866,0.000885560
22,0.99853,0.000915467
23,0.99840,0.000879869
24,0.99827,0.000927098
25,0.99813,0.000876844
26,0.99798,0.000950151
27,0.99783,0.000890098
28,0.99767,0.000929012
29,0.99751,0.000903504
30,0.99734,0.000917390
31,0.99717,0.000883526
32,0.99699,0.000923681
33,0.99681,0.000878837
34,0.99662,0.000936345
35,0.99643,0.000888214
36,0.99623,0.000927900
37,0.99603,0.000904185
38,0.99582,0.000956333
39,0.99561,0.000896810
40,0.99539,0.000938299
41,0.99517,0.000862686
42,0.99494,0.000954800
43,0.99471,0.000878627
44,0.99448,0.000953317
45,0.99424,0.000901660
46,0.99399,0.000916768
47,0.99374,0.000909385
48,0.99348,0.000912641
49,0.99322,0.000886912
50,0.99296,0.000957345
51,0.99269,0.000904715
52,0.99242,0.000926958
53,0.99214,0.000896440
54,0.99186,0.000933380
55,0.99157,0.000883466
56,0.99128,0.000922669
57,0.99098,0.000906028
58,0.99068,0.000961533
59,0.99038,0.000882524
60,0.99007,0.000943108
61,0.98975,0.000908644
62,0.98944,0.000911479
63,0.98912,0.000884007
64,0.98879,0.000930945
65,0.98846,0.000892202
66,0.98812,0.000951805
67,0.98779,0.000896511
68,0.98744,0.000910838
69,0.98710,0.000903784
70,0.98674,0.000948018
71,0.98639,0.000921979
72,0.98603,0.000950522
73,0.98567,0.000900448
74,0.98530,0.000913412
75,0.98493,0.000890670
76,0.98455,0.000941575
77,0.98418,0.000922029
78,0.98379,0.000962235
79,0.98341,0.000888175
80,0.98302,0.000932177
81,0.98262,0.000889867
82,0.98222,0.000940784
83,0.98182,0.000926496
84,0.98142,0.000933981
85,0.98101,0.000926437
86,0.98059,0.000947096
87,0.98018,0.000895688
88,0.97976,0.000932959
89,0.97933,0.000863147
90,0.97890,0.000919344
91,0.97847,0.000896811
92,0.97804,0.000939200
93,0.97760,0.000898995
94,0.97716,0.000912851
95,0.97671,0.000907270
96,0.97626,0.000937658
97,0.97581,0.000891831
98,0.97536,0.000918422
99,0.97490,0.000927609
100,0.97444,0.000926738
101,0.97397,0.000883576
102,0.97350,0.000945152
103,0.97303,0.000877905
104,0.97255,0.000899296
105,0.97208,0.000893024
106,0.97159,0.000956323
107,0.97111,0.000904395
108,0.97062,0.000917420
109,0.97013,0.000869870
110,0.96963,0.000944511
111,0.96914,0.001092179
112,0.96863,0.001207376
113,0.96813,0.000884197
114,0.96762,0.000919423
115,0.96711,0.000892583
116,0.96660,0.000945673
117,0.96608,0.000895328
118,0.96557,0.000931517
119,0.96504,0.000866965
120,0.96452,0.000943108
