Passo,ValorCentral,Tempo
0,1.00000,0.007444833
1,0.99999,0.006956883
2,0.99998,0.006967063
3,0.99996,0.006939060
4,0.99994,0.006939691
5,0.99991,0.006938119
6,0.99988,0.006939210
7,0.99983,0.006937687
8,0.99979,0.006949109
9,0.99973,0.006943198
10,0.99967,0.006948307
11,0.99961,0.006939070
12,0.99954,0.006933991
13,0.99946,0.006939260
14,0.99938,0.006940763
15,0.99930,0.006946133
16,0.99920,0.006937918
17,0.99911,0.006939190
18,0.99900,0.006942596
19,0.99889,0.006941564
20,0.99878,0.006886611
21,0.99866,0.006944351
22,0.99853,0.006940514
23,0.99840,0.006936576
24,0.99827,0.006941195
25,0.99813,0.006941224
26,0.99798,0.006936365
27,0.99783,0.006941525
28,0.99767,0.006938530
29,0.99751,0.006878336
30,0.99734,0.006941625
31,0.99717,0.006940132
32,0.99699,0.006940813
33,0.99681,0.006938459
34,0.99662,0.006947066
35,0.99643,0.006939912
36,0.99623,0.006941234
37,0.99603,0.006945001
38,0.99582,0.006928000
39,0.99561,0.006961363
40,0.99539,0.006950262
41,0.99517,0.006923361
42,0.99494,0.006939260
43,0.99471,0.006944150
44,0.99448,0.006936656
45,0.99424,0.006936085
46,0.99399,0.006940854
47,0.99374,0.006935794
48,0.99348,0.006944480
49,0.99322,0.006938209
50,0.99296,0.006938069
51,0.99269,0.006938780
52,0.99242,0.006936205
53,0.99214,0.006944802
54,0.99186,0.006931807
55,0.99157,0.006938329
56,0.99128,0.006937668
57,0.99098,0.006938339
58,0.99068,0.006944321
59,0.99038,0.006941735
60,0.99007,0.006954630
61,0.98975,0.006943720
62,0.98944,0.006939542
63,0.98912,0.006922760
64,0.98879,0.006943850
65,0.98846,0.006939642
66,0.98812,0.006939752
67,0.98779,0.006938179
68,0.98744,0.006940604
69,0.98710,0.006950522
70,0.98674,0.006942156
71,0.98639,0.006941084
72,0.98603,0.006965972
73,0.98567,0.006943599
74,0.98530,0.006943018
75,0.98493,0.006937518
76,0.98455,0.006937828
77,0.98418,0.006942246
78,0.98379,0.006940884
79,0.98341,0.006936596
80,0.98302,0.006938770
81,0.98262,0.006934642
82,0.98222,0.006907992
83,0.98182,0.006939552
84,0.98142,0.006937037
85,0.98101,0.006936135
86,0.98059,0.006943819
87,0.98018,0.006939261
88,0.97976,0.006938029
89,0.97933,0.006938540
90,0.97890,0.006940724
91,0.97847,0.006939000
92,0.97804,0.006936787
93,0.97760,0.006935955
94,0.97716,0.006935554
95,0.97671,0.006936376
96,0.97626,0.006946044
97,0.97581,0.006934932
98,0.97536,0.006936806
99,0.97490,0.006938469
100,0.97444,0.006940503
101,0.97397,0.006943940
102,0.97350,0.006935985
103,0.97303,0.006935443
104,0.97255,0.006936766
105,0.97208,0.006940854
106,0.97159,0.006939110
107,0.97111,0.006934632
108,0.97062,0.006939903
109,0.97013,0.006937007
110,0.96963,0.006940453
111,0.96914,0.006933009
112,0.96863,0.006938029
113,0.96813,0.006935003
114,0.96762,0.006936485
115,0.96711,0.006939691
116,0.96660,0.006935664
117,0.96608,0.006940945
118,0.96557,0.006938690
119,0.96504,0.006941104
120,0.96452,0.006940272
121,0.96399,0.006936315
122,0.96346,0.006937678
123,0.96293,0.006936396
124,0.96239,0.006945182
125,0.96185,0.006939060
126,0.96131,0.006939150
127,0.96076,0.006934802
128,0.96022,0.006936375
129,0.95967,0.006942798
130,0.95911,0.006939932
131,0.95856,0.006936846
132,0.95800,0.006937769
133,0.95744,0.006938269
134,0.95687,0.006943839
135,0.95631,0.006936175
136,0.95574,0.006936816
137,0.95517,0.006936856
138,0.95459,0.006940723
139,0.95402,0.006939922
140,0.95344,0.006939230
141,0.95285,0.006936375
142,0.95227,0.006943519
143,0.95168,0.006946915
144,0.95109,0.006936205
145,0.95050,0.006940122
146,0.94991,0.006931746
147,0.94931,0.006936626
148,0.94871,0.006943178
149,0.94811,0.006940152
150,0.94751,0.006936285
151,0.94690,0.006936045
152,0.94630,0.006951955
153,0.94569,0.006945183
154,0.94507,0.006941786
155,0.94446,0.006941846
156,0.94384,0.006937046
157,0.94322,0.006938499
158,0.94260,0.006938689
159,0.94198,0.006936255
160,0.94135,0.006937828
161,0.94072,0.006936005
162,0.94009,0.006941184
163,0.93946,0.006937848
164,0.93883,0.006868077
165,0.93819,0.006949229
166,0.93755,0.006938579
167,0.93691,0.006944130
168,0.93627,0.006938971
169,0.93562,0.006936766
170,0.93498,0.006939872
171,0.93433,0.006937667
172,0.93368,0.006945623
173,0.93303,0.006937428
174,0.93237,0.006943399
175,0.93172,0.006939331
176,0.93106,0.006940914
177,0.93040,0.006942437
178,0.92974,0.006936986
179,0.92907,0.006936756
180,0.92841,0.006938229
181,0.92774,0.006943369
182,0.92707,0.006935283
183,0.92640,0.006936476
184,0.92573,0.006937788
185,0.92506,0.006938669
186,0.92438,0.006945222
187,0.92370,0.006938980
188,0.92302,0.006940724
189,0.92234,0.006940433
190,0.92166,0.006936866
191,0.92098,0.006941725
192,0.92029,0.006939331
193,0.91960,0.006938599
194,0.91892,0.006940483
195,0.91822,0.006939903
196,0.91753,0.006942186
197,0.91684,0.006939201
198,0.91614,0.006942016
199,0.91545,0.006937688
200,0.91475,0.006941354
201,0.91405,0.006942577
202,0.91335,0.006948328
203,0.91265,0.006935875
204,0.91194,0.006938410
205,0.91124,0.006942367
206,0.91053,0.006938479
207,0.90982,0.006936726
208,0.90911,0.006942096
209,0.90840,0.006938790
210,0.90769,0.006927148
211,0.90697,0.006930534
212,0.90626,0.006936376
213,0.90554,0.006942247
214,0.90482,0.006937017
215,0.90411,0.006940553
216,0.90339,0.006937969
217,0.90266,0.006936576
218,0.90194,0.006936455
219,0.90122,0.006941845
220,0.90049,0.006924313
221,0.89976,0.006936676
222,0.89904,0.006936956
223,0.89831,0.006938719
224,0.89758,0.006941675
225,0.89685,0.006936936
226,0.89611,0.006934372
227,0.89538,0.006938259
228,0.89465,0.006938910
229,0.89391,0.006920636
230,0.89317,0.006934722
231,0.89244,0.006933530
232,0.89170,0.006937418
233,0.89096,0.006937187
234,0.89022,0.006943428
235,0.88947,0.006937137
236,0.88873,0.006938720
237,0.88799,0.006935974
238,0.88724,0.006942387
239,0.88650,0.006940594
240,0.88575,0.006939211
241,0.88500,0.006938149
242,0.88425,0.006935744
243,0.88350,0.006943610
244,0.88275,0.006942146
245,0.88200,0.006937698
246,0.88125,0.006939542
247,0.88049,0.006938039
248,0.87974,0.006943118
249,0.87899,0.006938579
250,0.87823,0.006936035
251,0.87747,0.006941235
252,0.87671,0.006937428
253,0.87596,0.006938981
254,0.87520,0.006940022
255,0.87444,0.006935343
256,0.87368,0.006938048
257,0.87291,0.006942898
258,0.87215,0.006936496
259,0.87139,0.006933551
260,0.87062,0.006939061
261,0.86986,0.006936826
262,0.86909,0.006944992
263,0.86833,0.006940874
264,0.86756,0.006940873
265,0.86679,0.006939431
266,0.86603,0.006943569
267,0.86526,0.006946655
268,0.86449,0.006944791
269,0.86372,0.006942947
270,0.86295,0.006943619
271,0.86218,0.006942327
272,0.86140,0.006945562
273,0.86063,0.006942507
274,0.85986,0.006942156
275,0.85908,0.006935003
276,0.85831,0.006938419
277,0.85754,0.006940833
278,0.85676,0.006936556
279,0.85598,0.006936686
280,0.85521,0.006936816
281,0.85443,0.006945192
282,0.85365,0.006939732
283,0.85288,0.006936125
284,0.85210,0.006937297
285,0.85132,0.006938549
286,0.85054,0.006949119
287,0.84976,0.006938609
288,0.84898,0.006991659
289,0.84820,0.006937798
290,0.84742,0.006938730
291,0.84663,0.006941916
292,0.84585,0.006936556
293,0.84507,0.006926847
294,0.84429,0.006938790
295,0.84350,0.006939973
296,0.84272,0.006939441
297,0.84194,0.006937738
298,0.84115,0.006939351
299,0.84037,0.006943819
300,0.83958,0.006944370
301,0.83880,0.006943198
302,0.83801,0.006942166
303,0.83722,0.006947827
304,0.83644,0.006942206
305,0.83565,0.006944741
306,0.83486,0.006937849
307,0.83408,0.006941004
308,0.83329,0.006940202
309,0.83250,0.006937688
310,0.83171,0.006941365
311,0.83092,0.006937317
312,0.83013,0.006913593
313,0.82935,0.006938038
314,0.82856,0.006939561
315,0.82777,0.006937667
316,0.82698,0.006938820
317,0.82619,0.006938490
