Passo,ValorCentral,Tempo
0,1.00000,0.004026940
1,0.99999,0.000187393
2,0.99998,0.000260060
3,0.99996,0.000193585
4,0.99994,0.000301969
5,0.99991,0.000164651
6,0.99988,0.000258467
7,0.99983,0.000164560
8,0.99979,0.000268727
9,0.99973,0.000163067
10,0.99967,0.000257606
11,0.99961,0.000161825
12,0.99954,0.000258457
13,0.99946,0.000170291
14,0.99938,0.000257565
15,0.99930,0.000162537
16,0.99920,0.000258628
17,0.99911,0.000163108
18,0.99900,0.000280779
19,0.99889,0.000164139
20,0.99878,0.000258116
21,0.99866,0.000162697
22,0.99853,0.000266011
23,0.99840,0.000163308
24,0.99827,0.000259550
25,0.99813,0.000163197
26,0.99798,0.000257756
27,0.99783,0.000182624
28,0.99767,0.000257956
29,0.99751,0.000163208
30,0.99734,0.000255272
31,0.99717,0.000168688
32,0.99699,0.000255943
33,0.99681,0.000163468
34,0.99662,0.000256023
35,0.99643,0.000163138
36,0.99623,0.000261443
37,0.99603,0.000163718
38,0.99582,0.000258568
39,0.99561,0.000161775
40,0.99539,0.000256513
41,0.99517,0.000168778
42,0.99494,0.000257265
43,0.99471,0.000162767
44,0.99448,0.000254420
45,0.99424,0.000163268
46,0.99399,0.000264940
47,0.99374,0.000163498
48,0.99348,0.000258297
49,0.99322,0.000163779
50,0.99296,0.000261744
51,0.99269,0.000164049
52,0.99242,0.000259109
53,0.99214,0.000161975
54,0.99186,0.000258868
55,0.99157,0.000180811
56,0.99128,0.000258227
57,0.99098,0.000163929
58,0.99068,0.000258237
59,0.99038,0.000162767
60,0.99007,0.000266682
61,0.98975,0.000163118
62,0.98944,0.000259469
63,0.98912,0.000163529
64,0.98879,0.000262245
65,0.98846,0.000163348
66,0.98812,0.000258297
67,0.98779,0.000163869
68,0.98744,0.000256193
69,0.98710,0.000171243
70,0.98674,0.000260561
71,0.98639,0.000162857
72,0.98603,0.000255031
73,0.98567,0.000162546
74,0.98530,0.000270970
75,0.98493,0.000163499
76,0.98455,0.000258047
77,0.98418,0.000163177
78,0.98379,0.000263016
79,0.98341,0.000162817
80,0.98302,0.000259308
81,0.98262,0.000163478
82,0.98222,0.000258207
83,0.98182,0.000180841
84,0.98142,0.000256293
85,0.98101,0.000163619
86,0.98059,0.000259820
87,0.98018,0.000163629
88,0.97976,0.000277092
89,0.97933,0.000163157
90,0.97890,0.000259950
91,0.97847,0.000163268
92,0.97804,0.000265059
93,0.97760,0.000163328
94,0.97716,0.000259078
95,0.97671,0.000163047
96,0.97626,0.000257184
97,0.97581,0.000169429
98,0.97536,0.000258718
99,0.97490,0.000163288
100,0.97444,0.000257005
101,0.97397,0.000164269
102,0.97350,0.000267575
103,0.97303,0.000163628
104,0.97255,0.000256483
105,0.97208,0.000162126
106,0.97159,0.000264950
107,0.97111,0.000163288
108,0.97062,0.000257876
109,0.97013,0.000163338
110,0.96963,0.000258868
111,0.96914,0.000182934
112,0.96863,0.000258036
113,0.96813,0.000163367
114,0.96762,0.000257075
115,0.96711,0.000163459
116,0.96660,0.000267384
117,0.96608,0.000163629
118,0.96557,0.000263376
119,0.96504,0.000162777
120,0.96452,0.000267244
121,0.96399,0.000163739
122,0.96346,0.000262645
123,0.96293,0.000162316
124,0.96239,0.000258558
125,0.96185,0.000168117
126,0.96131,0.000257325
127,0.96076,0.000163729
128,0.96022,0.000261272
129,0.95967,0.000162907
130,0.95911,0.000267745
131,0.95856,0.000162396
132,0.95800,0.000263546
133,0.95744,0.000163418
134,0.95687,0.000265390
135,0.95631,0.000162477
136,0.95574,0.000261704
137,0.95517,0.000163980
138,0.95459,0.000260071
139,0.95402,0.000170171
140,0.95344,0.000261703
141,0.95285,0.000165722
142,0.95227,0.000260772
143,0.95168,0.000163138
144,0.95109,0.000282402
145,0.95050,0.000163459
146,0.94991,0.000260722
147,0.94931,0.000165101
148,0.94871,0.000268496
149,0.94811,0.000164029
150,0.94751,0.000267043
151,0.94690,0.000163869
152,0.94630,0.000259659
153,0.94569,0.000171493
154,0.94507,0.000260271
155,0.94446,0.000163698
