clcronje@service0 023_tarefa]$ cat 023*out
Iniciando simulação CUDA 3D com perfilamento NSYS...
[CUDA] Passo    0 | Valor central: 99.94000000 | Tempo: 0.002850 s
[CUDA] Passo    1 | Valor central: 99.88004200 | Tempo: 0.001324 s
[CUDA] Passo    2 | Valor central: 99.82012597 | Tempo: 0.001334 s
[CUDA] Passo    3 | Valor central: 99.76025187 | Tempo: 0.001317 s
[CUDA] Passo    4 | Valor central: 99.70041968 | Tempo: 0.001332 s
[CUDA] Passo    5 | Valor central: 99.64062935 | Tempo: 0.001315 s
[CUDA] Passo    6 | Valor central: 99.58088087 | Tempo: 0.001330 s
[CUDA] Passo    7 | Valor central: 99.52117419 | Tempo: 0.001318 s
[CUDA] Passo    8 | Valor central: 99.46150928 | Tempo: 0.001335 s
[CUDA] Passo    9 | Valor central: 99.40188612 | Tempo: 0.001317 s
[CUDA] Passo   10 | Valor central: 99.34230466 | Tempo: 0.001336 s
[CUDA] Passo   11 | Valor central: 99.28276489 | Tempo: 0.001316 s
[CUDA] Passo   12 | Valor central: 99.22326675 | Tempo: 0.001330 s
[CUDA] Passo   13 | Valor central: 99.16381023 | Tempo: 0.001317 s
[CUDA] Passo   14 | Valor central: 99.10439529 | Tempo: 0.001333 s
[CUDA] Passo   15 | Valor central: 99.04502190 | Tempo: 0.001320 s
[CUDA] Passo   16 | Valor central: 98.98569003 | Tempo: 0.001331 s
[CUDA] Passo   17 | Valor central: 98.92639964 | Tempo: 0.001316 s
[CUDA] Passo   18 | Valor central: 98.86715071 | Tempo: 0.001332 s
[CUDA] Passo   19 | Valor central: 98.80794319 | Tempo: 0.001319 s
[CUDA] Passo   20 | Valor central: 98.74877707 | Tempo: 0.001338 s
[CUDA] Passo   21 | Valor central: 98.68965230 | Tempo: 0.001322 s
[CUDA] Passo   22 | Valor central: 98.63056886 | Tempo: 0.001333 s
[CUDA] Passo   23 | Valor central: 98.57152671 | Tempo: 0.001316 s
[CUDA] Passo   24 | Valor central: 98.51252582 | Tempo: 0.001336 s
[CUDA] Passo   25 | Valor central: 98.45356616 | Tempo: 0.001320 s
[CUDA] Passo   26 | Valor central: 98.39464770 | Tempo: 0.001335 s
[CUDA] Passo   27 | Valor central: 98.33577040 | Tempo: 0.001317 s
[CUDA] Passo   28 | Valor central: 98.27693424 | Tempo: 0.001330 s
[CUDA] Passo   29 | Valor central: 98.21813919 | Tempo: 0.001318 s
[CUDA] Passo   30 | Valor central: 98.15938520 | Tempo: 0.001333 s
[CUDA] Passo   31 | Valor central: 98.10067226 | Tempo: 0.001319 s
[CUDA] Passo   32 | Valor central: 98.04200032 | Tempo: 0.001331 s
[CUDA] Passo   33 | Valor central: 97.98336936 | Tempo: 0.001317 s
[CUDA] Passo   34 | Valor central: 97.92477934 | Tempo: 0.001331 s
[CUDA] Passo   35 | Valor central: 97.86623024 | Tempo: 0.001319 s
[CUDA] Passo   36 | Valor central: 97.80772201 | Tempo: 0.001331 s
[CUDA] Passo   37 | Valor central: 97.74925464 | Tempo: 0.001310 s
[CUDA] Passo   38 | Valor central: 97.69082809 | Tempo: 0.001332 s
[CUDA] Passo   39 | Valor central: 97.63244232 | Tempo: 0.001320 s
[CUDA] Passo   40 | Valor central: 97.57409731 | Tempo: 0.001337 s
[CUDA] Passo   41 | Valor central: 97.51579303 | Tempo: 0.001313 s
[CUDA] Passo   42 | Valor central: 97.45752944 | Tempo: 0.001336 s
[CUDA] Passo   43 | Valor central: 97.39930651 | Tempo: 0.001318 s
[CUDA] Passo   44 | Valor central: 97.34112421 | Tempo: 0.001336 s
[CUDA] Passo   45 | Valor central: 97.28298251 | Tempo: 0.001315 s
[CUDA] Passo   46 | Valor central: 97.22488138 | Tempo: 0.001335 s
[CUDA] Passo   47 | Valor central: 97.16682079 | Tempo: 0.001311 s
[CUDA] Passo   48 | Valor central: 97.10880070 | Tempo: 0.001328 s
[CUDA] Passo   49 | Valor central: 97.05082109 | Tempo: 0.001315 s
[CUDA] Passo   50 | Valor central: 96.99288192 | Tempo: 0.001334 s
[CUDA] Passo   51 | Valor central: 96.93498316 | Tempo: 0.001314 s
[CUDA] Passo   52 | Valor central: 96.87712478 | Tempo: 0.001338 s
[CUDA] Passo   53 | Valor central: 96.81930676 | Tempo: 0.001320 s
[CUDA] Passo   54 | Valor central: 96.76152905 | Tempo: 0.001340 s
[CUDA] Passo   55 | Valor central: 96.70379163 | Tempo: 0.001317 s
[CUDA] Passo   56 | Valor central: 96.64609447 | Tempo: 0.001336 s
